Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,AC,Estado,2020-04-15,101.0,83.0,12.0,12.0,3.0,3.0
Brasil,AC,Estado,2020-04-16,105.0,81.0,12.0,13.0,4.0,3.0
Brasil,AC,Estado,2020-04-17,110.0,80.0,12.0,14.0,5.0,3.0
Brasil,AC,Estado,2020-04-18,117.0,82.0,13.0,15.0,5.0,3.0
Brasil,AC,Estado,2020-04-19,126.0,85.0,14.0,16.0,5.0,3.0
Brasil,AC,Estado,2020-04-20,137.0,89.0,14.0,18.0,6.0,3.0
Brasil,AC,Estado,2020-04-21,149.0,96.0,16.0,20.0,6.0,4.0
Brasil,AC,Estado,2020-04-22,164.0,104.0,17.0,22.0,6.0,4.0
Brasil,AC,Estado,2020-04-23,182.0,114.0,19.0,25.0,7.0,4.0
Brasil,AC,Estado,2020-04-24,202.0,126.0,21.0,28.0,7.0,5.0
Brasil,AC,Estado,2020-04-25,225.0,140.0,23.0,31.0,8.0,5.0
Brasil,AC,Estado,2020-04-26,252.0,157.0,26.0,35.0,8.0,6.0
Brasil,AC,Estado,2020-04-27,283.0,176.0,29.0,40.0,9.0,6.0
Brasil,AC,Estado,2020-04-28,318.0,198.0,33.0,45.0,10.0,7.0
Brasil,AC,Estado,2020-04-29,358.0,223.0,37.0,51.0,10.0,8.0
Brasil,AC,Estado,2020-04-30,402.0,252.0,42.0,58.0,11.0,9.0
Brasil,AC,Estado,2020-05-01,452.0,283.0,47.0,65.0,12.0,10.0
Brasil,AC,Estado,2020-05-02,508.0,318.0,53.0,74.0,14.0,12.0
Brasil,AC,Estado,2020-05-03,570.0,357.0,60.0,83.0,15.0,13.0
Brasil,AC,Estado,2020-05-04,638.0,399.0,67.0,93.0,17.0,15.0
Brasil,AC,Estado,2020-05-05,713.0,445.0,75.0,104.0,18.0,16.0
Brasil,AC,Estado,2020-05-06,796.0,495.0,83.0,117.0,20.0,18.0
Brasil,AC,Estado,2020-05-07,885.0,549.0,92.0,130.0,22.0,20.0
Brasil,AC,Estado,2020-05-08,983.0,607.0,102.0,145.0,25.0,22.0
Brasil,AC,Estado,2020-05-09,1089.0,668.0,113.0,161.0,27.0,25.0
Brasil,AC,Estado,2020-05-10,1203.0,734.0,124.0,178.0,30.0,27.0
Brasil,AC,Estado,2020-05-11,1325.0,804.0,136.0,196.0,33.0,29.0
Brasil,AC,Estado,2020-05-12,1456.0,877.0,148.0,216.0,36.0,32.0
Brasil,AC,Estado,2020-05-13,1596.0,955.0,162.0,237.0,39.0,35.0
Brasil,AC,Estado,2020-05-14,1745.0,1035.0,176.0,259.0,43.0,38.0
Brasil,AC,Estado,2020-05-15,1903.0,1120.0,191.0,283.0,46.0,41.0
Brasil,AC,Estado,2020-05-16,2070.0,1207.0,206.0,308.0,50.0,44.0
Brasil,AC,Estado,2020-05-17,2246.0,1297.0,222.0,334.0,55.0,47.0
Brasil,AC,Estado,2020-05-18,2431.0,1391.0,238.0,362.0,59.0,51.0
Brasil,AC,Estado,2020-05-19,2625.0,1487.0,255.0,391.0,64.0,54.0
Brasil,AC,Estado,2020-05-20,2828.0,1585.0,273.0,421.0,69.0,58.0
Brasil,AC,Estado,2020-05-21,3039.0,1684.0,291.0,453.0,74.0,61.0
Brasil,AC,Estado,2020-05-22,3259.0,1786.0,309.0,486.0,80.0,65.0
Brasil,AC,Estado,2020-05-23,3487.0,1889.0,328.0,520.0,86.0,69.0
Brasil,AC,Estado,2020-05-24,3722.0,1993.0,347.0,556.0,92.0,73.0
Brasil,AC,Estado,2020-05-25,3965.0,2097.0,366.0,592.0,98.0,76.0
Brasil,AC,Estado,2020-05-26,4216.0,2201.0,385.0,630.0,104.0,80.0
Brasil,AC,Estado,2020-05-27,4473.0,2306.0,405.0,668.0,111.0,84.0
Brasil,AC,Estado,2020-05-28,4736.0,2410.0,424.0,708.0,118.0,88.0
Brasil,AC,Estado,2020-05-29,5006.0,2512.0,444.0,748.0,124.0,91.0
Brasil,AC,Estado,2020-05-30,5281.0,2614.0,463.0,789.0,132.0,95.0
Brasil,AC,Estado,2020-05-31,5561.0,2714.0,482.0,831.0,139.0,98.0
Brasil,AC,Estado,2020-06-01,5845.0,2812.0,501.0,874.0,146.0,102.0
Brasil,AC,Estado,2020-06-02,6134.0,2907.0,520.0,917.0,154.0,105.0
Brasil,AC,Estado,2020-06-03,6426.0,3000.0,538.0,961.0,162.0,109.0
Brasil,AC,Estado,2020-06-04,6721.0,3090.0,556.0,1005.0,169.0,112.0
Brasil,AC,Estado,2020-06-05,7018.0,3176.0,573.0,1050.0,177.0,115.0
Brasil,AC,Estado,2020-06-06,7318.0,3259.0,590.0,1095.0,185.0,118.0
Brasil,AC,Estado,2020-06-07,7618.0,3338.0,607.0,1140.0,193.0,120.0
Brasil,AC,Estado,2020-06-08,7920.0,3413.0,622.0,1185.0,202.0,123.0
Brasil,AC,Estado,2020-06-09,8222.0,3484.0,638.0,1231.0,210.0,126.0
Brasil,AC,Estado,2020-06-10,8524.0,3550.0,652.0,1276.0,218.0,128.0
Brasil,AC,Estado,2020-06-11,8826.0,3611.0,666.0,1321.0,226.0,130.0
Brasil,AC,Estado,2020-06-12,9126.0,3668.0,679.0,1366.0,234.0,132.0
Brasil,AC,Estado,2020-06-13,9425.0,3719.0,691.0,1411.0,242.0,134.0
Brasil,AC,Estado,2020-06-14,9722.0,3766.0,702.0,1456.0,251.0,135.0
Brasil,AC,Estado,2020-06-15,10017.0,3807.0,712.0,1500.0,259.0,137.0
Brasil,AC,Estado,2020-06-16,10309.0,3843.0,722.0,1544.0,267.0,138.0
Brasil,AC,Estado,2020-06-17,10597.0,3874.0,730.0,1587.0,275.0,139.0
Brasil,AC,Estado,2020-06-18,10883.0,3900.0,738.0,1630.0,283.0,140.0
Brasil,AC,Estado,2020-06-19,11165.0,3921.0,745.0,1672.0,290.0,140.0
Brasil,AC,Estado,2020-06-20,11442.0,3937.0,751.0,1714.0,298.0,141.0
Brasil,AC,Estado,2020-06-21,11715.0,3947.0,756.0,1754.0,306.0,141.0
Brasil,AC,Estado,2020-06-22,11983.0,3952.0,760.0,1795.0,313.0,141.0
Brasil,AC,Estado,2020-06-23,12246.0,3953.0,764.0,1834.0,321.0,141.0
Brasil,AC,Estado,2020-06-24,12504.0,3948.0,766.0,1873.0,328.0,140.0
Brasil,AC,Estado,2020-06-25,12756.0,3939.0,767.0,1911.0,335.0,140.0
Brasil,AC,Estado,2020-06-26,13003.0,3925.0,768.0,1948.0,342.0,139.0
Brasil,AC,Estado,2020-06-27,13245.0,3907.0,768.0,1984.0,349.0,138.0
Brasil,AC,Estado,2020-06-28,13480.0,3884.0,767.0,2019.0,356.0,138.0
Brasil,AC,Estado,2020-06-29,13710.0,3858.0,765.0,2054.0,362.0,136.0
Brasil,AC,Estado,2020-06-30,13934.0,3827.0,762.0,2087.0,369.0,135.0
Brasil,AC,Estado,2020-07-01,14151.0,3792.0,759.0,2120.0,375.0,134.0
Brasil,AC,Estado,2020-07-02,14362.0,3754.0,755.0,2152.0,381.0,132.0
Brasil,AC,Estado,2020-07-03,14568.0,3713.0,750.0,2182.0,387.0,131.0
Brasil,AC,Estado,2020-07-04,14767.0,3669.0,745.0,2212.0,393.0,129.0
Brasil,AC,Estado,2020-07-05,14960.0,3621.0,739.0,2241.0,398.0,127.0
Brasil,AC,Estado,2020-07-06,15147.0,3571.0,732.0,2269.0,404.0,125.0
Brasil,AC,Estado,2020-07-07,15327.0,3518.0,725.0,2296.0,409.0,123.0
Brasil,AC,Estado,2020-07-08,15502.0,3463.0,717.0,2323.0,414.0,121.0
Brasil,AC,Estado,2020-07-09,15670.0,3406.0,708.0,2348.0,419.0,119.0
Brasil,AC,Estado,2020-07-10,15833.0,3346.0,700.0,2372.0,424.0,117.0
Brasil,AC,Estado,2020-07-11,15989.0,3285.0,690.0,2396.0,428.0,114.0
Brasil,AC,Estado,2020-07-12,16140.0,3223.0,681.0,2418.0,433.0,112.0
Brasil,AC,Estado,2020-07-13,16285.0,3158.0,671.0,2440.0,437.0,110.0
Brasil,AC,Estado,2020-07-14,16425.0,3093.0,660.0,2461.0,441.0,107.0
Brasil,AC,Estado,2020-07-15,16559.0,3027.0,650.0,2481.0,445.0,105.0
Brasil,AC,Estado,2020-07-16,16688.0,2960.0,639.0,2500.0,449.0,102.0
Brasil,AC,Estado,2020-07-17,16811.0,2892.0,627.0,2519.0,452.0,100.0
Brasil,AC,Estado,2020-07-18,16929.0,2823.0,616.0,2537.0,456.0,97.0
Brasil,AC,Estado,2020-07-19,17043.0,2754.0,604.0,2554.0,459.0,95.0
Brasil,AC,Estado,2020-07-20,17151.0,2685.0,592.0,2570.0,463.0,92.0
Brasil,AC,Estado,2020-07-21,17255.0,2616.0,581.0,2586.0,466.0,90.0
Brasil,AC,Estado,2020-07-22,17354.0,2547.0,568.0,2600.0,469.0,87.0
Brasil,AC,Estado,2020-07-23,17449.0,2478.0,556.0,2615.0,471.0,85.0
Brasil,AC,Estado,2020-07-24,17539.0,2410.0,544.0,2628.0,474.0,82.0
Brasil,AC,Estado,2020-07-25,17625.0,2341.0,532.0,2641.0,477.0,80.0
Brasil,AC,Estado,2020-07-26,17708.0,2274.0,519.0,2653.0,479.0,77.0
Brasil,AC,Estado,2020-07-27,17786.0,2206.0,507.0,2665.0,481.0,75.0
Brasil,AC,Estado,2020-07-28,17860.0,2140.0,495.0,2676.0,484.0,73.0
Brasil,AC,Estado,2020-07-29,17931.0,2074.0,483.0,2687.0,486.0,70.0
Brasil,AC,Estado,2020-07-30,17999.0,2009.0,470.0,2697.0,488.0,68.0
Brasil,AC,Estado,2020-07-31,18063.0,1945.0,458.0,2707.0,490.0,66.0
Brasil,AC,Estado,2020-08-01,18124.0,1882.0,446.0,2716.0,492.0,63.0
Brasil,AC,Estado,2020-08-02,18181.0,1821.0,434.0,2724.0,493.0,61.0
Brasil,AC,Estado,2020-08-03,18236.0,1760.0,423.0,2733.0,495.0,59.0
Brasil,AC,Estado,2020-08-04,18288.0,1700.0,411.0,2741.0,497.0,57.0
Brasil,AC,Estado,2020-08-05,18337.0,1641.0,399.0,2748.0,498.0,55.0
Brasil,AC,Estado,2020-08-06,18384.0,1584.0,388.0,2755.0,500.0,53.0
Brasil,AC,Estado,2020-08-07,18428.0,1528.0,377.0,2761.0,501.0,51.0
Brasil,AC,Estado,2020-08-08,18470.0,1473.0,366.0,2768.0,502.0,49.0
Brasil,AC,Estado,2020-08-09,18509.0,1420.0,355.0,2774.0,503.0,47.0
