Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,AL,Estado,2020-04-17,110.0,68.0,10.0,10.0,7.0,3.0
Brasil,AL,Estado,2020-04-18,121.0,74.0,11.0,12.0,8.0,3.0
Brasil,AL,Estado,2020-04-19,131.0,78.0,12.0,13.0,9.0,3.0
Brasil,AL,Estado,2020-04-20,142.0,83.0,13.0,15.0,9.0,3.0
Brasil,AL,Estado,2020-04-21,154.0,89.0,14.0,17.0,10.0,3.0
Brasil,AL,Estado,2020-04-22,168.0,96.0,16.0,19.0,10.0,4.0
Brasil,AL,Estado,2020-04-23,185.0,106.0,17.0,21.0,10.0,4.0
Brasil,AL,Estado,2020-04-24,205.0,119.0,19.0,24.0,11.0,4.0
Brasil,AL,Estado,2020-04-25,229.0,134.0,22.0,28.0,11.0,5.0
Brasil,AL,Estado,2020-04-26,258.0,153.0,25.0,32.0,12.0,6.0
Brasil,AL,Estado,2020-04-27,292.0,176.0,29.0,37.0,13.0,6.0
Brasil,AL,Estado,2020-04-28,332.0,203.0,33.0,43.0,14.0,7.0
Brasil,AL,Estado,2020-04-29,379.0,234.0,39.0,51.0,15.0,9.0
Brasil,AL,Estado,2020-04-30,433.0,271.0,45.0,59.0,16.0,10.0
Brasil,AL,Estado,2020-05-01,496.0,313.0,52.0,68.0,18.0,12.0
Brasil,AL,Estado,2020-05-02,568.0,362.0,60.0,79.0,19.0,13.0
Brasil,AL,Estado,2020-05-03,650.0,417.0,69.0,91.0,21.0,15.0
Brasil,AL,Estado,2020-05-04,744.0,479.0,79.0,105.0,23.0,18.0
Brasil,AL,Estado,2020-05-05,850.0,549.0,91.0,121.0,26.0,20.0
Brasil,AL,Estado,2020-05-06,969.0,628.0,104.0,139.0,29.0,23.0
Brasil,AL,Estado,2020-05-07,1102.0,714.0,118.0,159.0,32.0,26.0
Brasil,AL,Estado,2020-05-08,1251.0,810.0,134.0,181.0,36.0,30.0
Brasil,AL,Estado,2020-05-09,1416.0,915.0,152.0,206.0,40.0,34.0
Brasil,AL,Estado,2020-05-10,1599.0,1031.0,171.0,234.0,44.0,38.0
Brasil,AL,Estado,2020-05-11,1800.0,1156.0,192.0,264.0,49.0,43.0
Brasil,AL,Estado,2020-05-12,2021.0,1291.0,215.0,297.0,55.0,47.0
Brasil,AL,Estado,2020-05-13,2262.0,1438.0,240.0,333.0,61.0,53.0
Brasil,AL,Estado,2020-05-14,2524.0,1595.0,267.0,372.0,68.0,59.0
Brasil,AL,Estado,2020-05-15,2809.0,1763.0,295.0,415.0,75.0,65.0
Brasil,AL,Estado,2020-05-16,3116.0,1943.0,326.0,461.0,83.0,71.0
Brasil,AL,Estado,2020-05-17,3447.0,2133.0,359.0,511.0,92.0,78.0
Brasil,AL,Estado,2020-05-18,3802.0,2334.0,393.0,564.0,101.0,86.0
Brasil,AL,Estado,2020-05-19,4182.0,2546.0,430.0,621.0,111.0,93.0
Brasil,AL,Estado,2020-05-20,4588.0,2768.0,469.0,682.0,122.0,101.0
Brasil,AL,Estado,2020-05-21,5019.0,3000.0,509.0,746.0,133.0,110.0
Brasil,AL,Estado,2020-05-22,5475.0,3242.0,551.0,815.0,146.0,119.0
Brasil,AL,Estado,2020-05-23,5959.0,3494.0,596.0,888.0,159.0,128.0
Brasil,AL,Estado,2020-05-24,6468.0,3755.0,642.0,964.0,172.0,137.0
Brasil,AL,Estado,2020-05-25,7004.0,4024.0,689.0,1044.0,187.0,147.0
Brasil,AL,Estado,2020-05-26,7565.0,4300.0,738.0,1128.0,202.0,157.0
Brasil,AL,Estado,2020-05-27,8152.0,4582.0,789.0,1216.0,219.0,167.0
Brasil,AL,Estado,2020-05-28,8765.0,4872.0,841.0,1308.0,236.0,178.0
Brasil,AL,Estado,2020-05-29,9402.0,5166.0,894.0,1404.0,253.0,188.0
Brasil,AL,Estado,2020-05-30,10064.0,5465.0,948.0,1503.0,272.0,199.0
Brasil,AL,Estado,2020-05-31,10749.0,5766.0,1003.0,1606.0,291.0,210.0
Brasil,AL,Estado,2020-06-01,11457.0,6071.0,1059.0,1712.0,311.0,221.0
Brasil,AL,Estado,2020-06-02,12187.0,6377.0,1116.0,1822.0,331.0,232.0
Brasil,AL,Estado,2020-06-03,12939.0,6684.0,1173.0,1935.0,353.0,243.0
Brasil,AL,Estado,2020-06-04,13710.0,6990.0,1230.0,2050.0,375.0,254.0
Brasil,AL,Estado,2020-06-05,14500.0,7294.0,1287.0,2169.0,397.0,265.0
Brasil,AL,Estado,2020-06-06,15308.0,7596.0,1344.0,2290.0,421.0,276.0
Brasil,AL,Estado,2020-06-07,16132.0,7895.0,1401.0,2414.0,444.0,286.0
Brasil,AL,Estado,2020-06-08,16972.0,8189.0,1458.0,2540.0,469.0,297.0
Brasil,AL,Estado,2020-06-09,17826.0,8478.0,1514.0,2668.0,493.0,307.0
Brasil,AL,Estado,2020-06-10,18692.0,8760.0,1569.0,2798.0,519.0,317.0
Brasil,AL,Estado,2020-06-11,19569.0,9035.0,1623.0,2929.0,544.0,327.0
Brasil,AL,Estado,2020-06-12,20456.0,9301.0,1677.0,3062.0,571.0,336.0
Brasil,AL,Estado,2020-06-13,21351.0,9559.0,1729.0,3196.0,597.0,345.0
Brasil,AL,Estado,2020-06-14,22253.0,9808.0,1779.0,3332.0,624.0,354.0
Brasil,AL,Estado,2020-06-15,23161.0,10045.0,1828.0,3468.0,650.0,363.0
Brasil,AL,Estado,2020-06-16,24072.0,10271.0,1876.0,3604.0,678.0,370.0
Brasil,AL,Estado,2020-06-17,24985.0,10486.0,1921.0,3742.0,705.0,378.0
Brasil,AL,Estado,2020-06-18,25900.0,10688.0,1965.0,3879.0,732.0,385.0
Brasil,AL,Estado,2020-06-19,26815.0,10877.0,2007.0,4016.0,760.0,391.0
Brasil,AL,Estado,2020-06-20,27728.0,11053.0,2046.0,4153.0,787.0,397.0
Brasil,AL,Estado,2020-06-21,28637.0,11214.0,2083.0,4289.0,815.0,403.0
Brasil,AL,Estado,2020-06-22,29543.0,11362.0,2119.0,4425.0,842.0,408.0
Brasil,AL,Estado,2020-06-23,30444.0,11496.0,2151.0,4560.0,870.0,412.0
Brasil,AL,Estado,2020-06-24,31338.0,11615.0,2181.0,4694.0,897.0,416.0
Brasil,AL,Estado,2020-06-25,32223.0,11720.0,2209.0,4827.0,924.0,420.0
Brasil,AL,Estado,2020-06-26,33100.0,11809.0,2234.0,4959.0,951.0,422.0
Brasil,AL,Estado,2020-06-27,33967.0,11883.0,2257.0,5089.0,978.0,425.0
Brasil,AL,Estado,2020-06-28,34823.0,11943.0,2277.0,5217.0,1004.0,426.0
Brasil,AL,Estado,2020-06-29,35668.0,11989.0,2295.0,5344.0,1030.0,428.0
Brasil,AL,Estado,2020-06-30,36501.0,12020.0,2310.0,5469.0,1056.0,428.0
Brasil,AL,Estado,2020-07-01,37320.0,12037.0,2322.0,5592.0,1081.0,429.0
Brasil,AL,Estado,2020-07-02,38124.0,12039.0,2332.0,5712.0,1106.0,428.0
Brasil,AL,Estado,2020-07-03,38914.0,12027.0,2339.0,5831.0,1131.0,427.0
Brasil,AL,Estado,2020-07-04,39689.0,12002.0,2344.0,5947.0,1155.0,426.0
Brasil,AL,Estado,2020-07-05,40448.0,11963.0,2346.0,6061.0,1179.0,424.0
Brasil,AL,Estado,2020-07-06,41190.0,11913.0,2346.0,6172.0,1202.0,422.0
Brasil,AL,Estado,2020-07-07,41916.0,11849.0,2343.0,6281.0,1225.0,419.0
Brasil,AL,Estado,2020-07-08,42625.0,11774.0,2338.0,6387.0,1248.0,416.0
Brasil,AL,Estado,2020-07-09,43316.0,11687.0,2331.0,6491.0,1269.0,413.0
Brasil,AL,Estado,2020-07-10,43990.0,11590.0,2322.0,6592.0,1291.0,409.0
Brasil,AL,Estado,2020-07-11,44647.0,11482.0,2310.0,6691.0,1312.0,405.0
Brasil,AL,Estado,2020-07-12,45285.0,11364.0,2297.0,6786.0,1332.0,400.0
Brasil,AL,Estado,2020-07-13,45905.0,11236.0,2281.0,6880.0,1352.0,395.0
Brasil,AL,Estado,2020-07-14,46508.0,11100.0,2264.0,6970.0,1371.0,390.0
Brasil,AL,Estado,2020-07-15,47092.0,10956.0,2245.0,7058.0,1390.0,384.0
Brasil,AL,Estado,2020-07-16,47659.0,10804.0,2224.0,7143.0,1408.0,379.0
Brasil,AL,Estado,2020-07-17,48207.0,10646.0,2202.0,7225.0,1425.0,373.0
Brasil,AL,Estado,2020-07-18,48738.0,10480.0,2178.0,7304.0,1443.0,366.0
Brasil,AL,Estado,2020-07-19,49251.0,10308.0,2153.0,7381.0,1459.0,360.0
Brasil,AL,Estado,2020-07-20,49746.0,10130.0,2126.0,7456.0,1475.0,353.0
Brasil,AL,Estado,2020-07-21,50225.0,9948.0,2098.0,7527.0,1491.0,346.0
Brasil,AL,Estado,2020-07-22,50687.0,9762.0,2069.0,7597.0,1506.0,339.0
Brasil,AL,Estado,2020-07-23,51131.0,9572.0,2039.0,7663.0,1520.0,332.0
Brasil,AL,Estado,2020-07-24,51560.0,9378.0,2008.0,7728.0,1534.0,325.0
Brasil,AL,Estado,2020-07-25,51971.0,9181.0,1975.0,7789.0,1547.0,318.0
Brasil,AL,Estado,2020-07-26,52367.0,8981.0,1943.0,7849.0,1560.0,311.0
Brasil,AL,Estado,2020-07-27,52748.0,8780.0,1909.0,7906.0,1573.0,303.0
Brasil,AL,Estado,2020-07-28,53114.0,8578.0,1875.0,7961.0,1585.0,296.0
Brasil,AL,Estado,2020-07-29,53465.0,8374.0,1840.0,8013.0,1596.0,288.0
Brasil,AL,Estado,2020-07-30,53801.0,8169.0,1805.0,8064.0,1607.0,281.0
Brasil,AL,Estado,2020-07-31,54123.0,7964.0,1769.0,8112.0,1618.0,273.0
Brasil,AL,Estado,2020-08-01,54432.0,7760.0,1733.0,8158.0,1628.0,266.0
Brasil,AL,Estado,2020-08-02,54727.0,7555.0,1697.0,8203.0,1638.0,258.0
Brasil,AL,Estado,2020-08-03,55009.0,7352.0,1660.0,8245.0,1647.0,251.0
Brasil,AL,Estado,2020-08-04,55279.0,7149.0,1624.0,8286.0,1656.0,244.0
Brasil,AL,Estado,2020-08-05,55537.0,6948.0,1587.0,8324.0,1665.0,237.0
Brasil,AL,Estado,2020-08-06,55783.0,6749.0,1550.0,8361.0,1673.0,229.0
