Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,AM,Estado,2020-03-28,111.0,105.0,16.0,16.0,1.0,4.0
Brasil,AM,Estado,2020-03-29,115.0,101.0,15.0,16.0,3.0,4.0
Brasil,AM,Estado,2020-03-30,122.0,100.0,16.0,17.0,4.0,4.0
Brasil,AM,Estado,2020-03-31,130.0,101.0,16.0,19.0,5.0,4.0
Brasil,AM,Estado,2020-04-01,140.0,104.0,17.0,20.0,5.0,4.0
Brasil,AM,Estado,2020-04-02,153.0,109.0,18.0,22.0,6.0,4.0
Brasil,AM,Estado,2020-04-03,168.0,117.0,19.0,24.0,6.0,4.0
Brasil,AM,Estado,2020-04-04,188.0,128.0,21.0,27.0,7.0,5.0
Brasil,AM,Estado,2020-04-05,212.0,142.0,23.0,31.0,8.0,5.0
Brasil,AM,Estado,2020-04-06,241.0,161.0,27.0,35.0,8.0,6.0
Brasil,AM,Estado,2020-04-07,276.0,183.0,30.0,40.0,9.0,7.0
Brasil,AM,Estado,2020-04-08,317.0,211.0,35.0,47.0,11.0,8.0
Brasil,AM,Estado,2020-04-09,367.0,245.0,40.0,54.0,12.0,9.0
Brasil,AM,Estado,2020-04-10,425.0,284.0,47.0,63.0,14.0,10.0
Brasil,AM,Estado,2020-04-11,494.0,331.0,55.0,73.0,16.0,12.0
Brasil,AM,Estado,2020-04-12,574.0,385.0,64.0,85.0,18.0,14.0
Brasil,AM,Estado,2020-04-13,666.0,448.0,74.0,99.0,21.0,17.0
Brasil,AM,Estado,2020-04-14,773.0,520.0,86.0,115.0,24.0,19.0
Brasil,AM,Estado,2020-04-15,895.0,602.0,99.0,133.0,28.0,22.0
Brasil,AM,Estado,2020-04-16,1035.0,696.0,115.0,154.0,33.0,26.0
Brasil,AM,Estado,2020-04-17,1193.0,800.0,132.0,178.0,37.0,29.0
Brasil,AM,Estado,2020-04-18,1371.0,918.0,151.0,205.0,43.0,34.0
Brasil,AM,Estado,2020-04-19,1571.0,1048.0,173.0,235.0,50.0,39.0
Brasil,AM,Estado,2020-04-20,1795.0,1193.0,197.0,268.0,57.0,44.0
Brasil,AM,Estado,2020-04-21,2045.0,1352.0,224.0,306.0,65.0,50.0
Brasil,AM,Estado,2020-04-22,2321.0,1526.0,253.0,347.0,74.0,56.0
Brasil,AM,Estado,2020-04-23,2625.0,1716.0,285.0,393.0,84.0,63.0
Brasil,AM,Estado,2020-04-24,2961.0,1922.0,320.0,443.0,95.0,71.0
Brasil,AM,Estado,2020-04-25,3327.0,2146.0,357.0,498.0,107.0,79.0
Brasil,AM,Estado,2020-04-26,3727.0,2385.0,398.0,558.0,121.0,88.0
Brasil,AM,Estado,2020-04-27,4161.0,2642.0,442.0,623.0,135.0,97.0
Brasil,AM,Estado,2020-04-28,4632.0,2917.0,489.0,694.0,151.0,107.0
Brasil,AM,Estado,2020-04-29,5139.0,3209.0,539.0,770.0,168.0,118.0
Brasil,AM,Estado,2020-04-30,5685.0,3518.0,592.0,852.0,187.0,129.0
Brasil,AM,Estado,2020-05-01,6269.0,3844.0,648.0,939.0,208.0,141.0
Brasil,AM,Estado,2020-05-02,6893.0,4187.0,707.0,1033.0,229.0,153.0
Brasil,AM,Estado,2020-05-03,7558.0,4546.0,770.0,1133.0,252.0,167.0
Brasil,AM,Estado,2020-05-04,8263.0,4921.0,835.0,1239.0,277.0,180.0
Brasil,AM,Estado,2020-05-05,9010.0,5310.0,904.0,1351.0,304.0,194.0
Brasil,AM,Estado,2020-05-06,9797.0,5713.0,974.0,1469.0,332.0,209.0
Brasil,AM,Estado,2020-05-07,10627.0,6129.0,1048.0,1593.0,361.0,224.0
Brasil,AM,Estado,2020-05-08,11498.0,6559.0,1124.0,1724.0,393.0,240.0
Brasil,AM,Estado,2020-05-09,12409.0,6999.0,1203.0,1860.0,425.0,256.0
Brasil,AM,Estado,2020-05-10,13360.0,7447.0,1283.0,2003.0,460.0,272.0
Brasil,AM,Estado,2020-05-11,14350.0,7905.0,1366.0,2152.0,496.0,288.0
