Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,BA,Salvador,2020-03-29,103.0,97.0,15.0,15.0,1.0,4.0
Brasil,BA,Salvador,2020-03-30,106.0,94.0,14.0,15.0,1.0,4.0
Brasil,BA,Salvador,2020-03-31,109.0,91.0,14.0,15.0,2.0,3.0
Brasil,BA,Salvador,2020-04-01,113.0,89.0,14.0,16.0,2.0,3.0
Brasil,BA,Salvador,2020-04-02,117.0,87.0,14.0,17.0,2.0,3.0
Brasil,BA,Salvador,2020-04-03,122.0,87.0,14.0,17.0,2.0,3.0
Brasil,BA,Salvador,2020-04-04,129.0,88.0,14.0,18.0,2.0,3.0
Brasil,BA,Salvador,2020-04-05,137.0,90.0,15.0,20.0,3.0,3.0
Brasil,BA,Salvador,2020-04-06,147.0,94.0,16.0,21.0,3.0,3.0
Brasil,BA,Salvador,2020-04-07,159.0,100.0,17.0,23.0,3.0,4.0
Brasil,BA,Salvador,2020-04-08,173.0,107.0,18.0,25.0,4.0,4.0
Brasil,BA,Salvador,2020-04-09,191.0,117.0,20.0,28.0,4.0,4.0
Brasil,BA,Salvador,2020-04-10,211.0,130.0,22.0,31.0,4.0,5.0
Brasil,BA,Salvador,2020-04-11,236.0,145.0,25.0,34.0,5.0,5.0
Brasil,BA,Salvador,2020-04-12,265.0,164.0,28.0,39.0,5.0,6.0
Brasil,BA,Salvador,2020-04-13,298.0,186.0,31.0,44.0,5.0,7.0
Brasil,BA,Salvador,2020-04-14,337.0,212.0,36.0,50.0,6.0,8.0
Brasil,BA,Salvador,2020-04-15,383.0,243.0,41.0,56.0,7.0,9.0
Brasil,BA,Salvador,2020-04-16,435.0,278.0,46.0,64.0,7.0,10.0
Brasil,BA,Salvador,2020-04-17,494.0,318.0,53.0,73.0,8.0,12.0
Brasil,BA,Salvador,2020-04-18,561.0,363.0,60.0,83.0,9.0,13.0
Brasil,BA,Salvador,2020-04-19,637.0,414.0,69.0,95.0,10.0,15.0
Brasil,BA,Salvador,2020-04-20,723.0,471.0,78.0,108.0,11.0,17.0
Brasil,BA,Salvador,2020-04-21,820.0,535.0,89.0,122.0,13.0,20.0
Brasil,BA,Salvador,2020-04-22,927.0,605.0,100.0,138.0,14.0,22.0
Brasil,BA,Salvador,2020-04-23,1046.0,681.0,113.0,156.0,16.0,25.0
Brasil,BA,Salvador,2020-04-24,1178.0,766.0,127.0,176.0,18.0,28.0
Brasil,BA,Salvador,2020-04-25,1323.0,859.0,143.0,198.0,20.0,32.0
Brasil,BA,Salvador,2020-04-26,1483.0,959.0,160.0,221.0,23.0,35.0
Brasil,BA,Salvador,2020-04-27,1656.0,1066.0,178.0,248.0,26.0,39.0
Brasil,BA,Salvador,2020-04-28,1845.0,1182.0,197.0,276.0,29.0,43.0
Brasil,BA,Salvador,2020-04-29,2051.0,1306.0,219.0,307.0,32.0,48.0
Brasil,BA,Salvador,2020-04-30,2273.0,1439.0,241.0,340.0,36.0,53.0
Brasil,BA,Salvador,2020-05-01,2513.0,1581.0,265.0,376.0,40.0,58.0
Brasil,BA,Salvador,2020-05-02,2770.0,1729.0,291.0,415.0,45.0,63.0
Brasil,BA,Salvador,2020-05-03,3044.0,1886.0,318.0,456.0,50.0,69.0
Brasil,BA,Salvador,2020-05-04,3337.0,2050.0,346.0,500.0,55.0,75.0
Brasil,BA,Salvador,2020-05-05,3649.0,2223.0,376.0,546.0,61.0,81.0
Brasil,BA,Salvador,2020-05-06,3981.0,2404.0,407.0,596.0,68.0,88.0
Brasil,BA,Salvador,2020-05-07,4331.0,2592.0,440.0,649.0,75.0,95.0
Brasil,BA,Salvador,2020-05-08,4700.0,2785.0,474.0,704.0,82.0,102.0
Brasil,BA,Salvador,2020-05-09,5087.0,2984.0,509.0,762.0,90.0,109.0
Brasil,BA,Salvador,2020-05-10,5494.0,3190.0,545.0,823.0,99.0,117.0
Brasil,BA,Salvador,2020-05-11,5921.0,3402.0,583.0,887.0,108.0,124.0
Brasil,BA,Salvador,2020-05-12,6367.0,3619.0,622.0,954.0,118.0,132.0
Brasil,BA,Salvador,2020-05-13,6830.0,3840.0,661.0,1024.0,128.0,140.0
Brasil,BA,Salvador,2020-05-14,7310.0,4062.0,701.0,1096.0,139.0,148.0
Brasil,BA,Salvador,2020-05-15,7807.0,4287.0,742.0,1170.0,151.0,156.0
Brasil,BA,Salvador,2020-05-16,8322.0,4515.0,784.0,1247.0,163.0,165.0
Brasil,BA,Salvador,2020-05-17,8854.0,4746.0,826.0,1327.0,176.0,173.0
Brasil,BA,Salvador,2020-05-18,9403.0,4979.0,868.0,1410.0,189.0,181.0
Brasil,BA,Salvador,2020-05-19,9966.0,5210.0,911.0,1494.0,203.0,190.0
Brasil,BA,Salvador,2020-05-20,10541.0,5439.0,954.0,1580.0,218.0,198.0
Brasil,BA,Salvador,2020-05-21,11130.0,5666.0,996.0,1669.0,234.0,206.0
Brasil,BA,Salvador,2020-05-22,11730.0,5890.0,1039.0,1759.0,250.0,214.0
Brasil,BA,Salvador,2020-05-23,12344.0,6114.0,1081.0,1851.0,267.0,222.0
Brasil,BA,Salvador,2020-05-24,12970.0,6335.0,1124.0,1945.0,284.0,230.0
Brasil,BA,Salvador,2020-05-25,13605.0,6551.0,1165.0,2040.0,302.0,238.0
Brasil,BA,Salvador,2020-05-26,14247.0,6761.0,1206.0,2136.0,321.0,245.0
Brasil,BA,Salvador,2020-05-27,14896.0,6963.0,1246.0,2233.0,340.0,252.0
Brasil,BA,Salvador,2020-05-28,15551.0,7159.0,1285.0,2332.0,360.0,259.0
Brasil,BA,Salvador,2020-05-29,16211.0,7348.0,1323.0,2431.0,380.0,266.0
Brasil,BA,Salvador,2020-05-30,16879.0,7532.0,1360.0,2531.0,401.0,272.0
Brasil,BA,Salvador,2020-05-31,17551.0,7709.0,1397.0,2632.0,422.0,278.0
Brasil,BA,Salvador,2020-06-01,18224.0,7876.0,1432.0,2733.0,444.0,284.0
Brasil,BA,Salvador,2020-06-02,18897.0,8033.0,1465.0,2834.0,466.0,290.0
Brasil,BA,Salvador,2020-06-03,19569.0,8179.0,1496.0,2935.0,489.0,295.0
Brasil,BA,Salvador,2020-06-04,20241.0,8315.0,1526.0,3035.0,512.0,300.0
Brasil,BA,Salvador,2020-06-05,20911.0,8442.0,1555.0,3136.0,536.0,304.0
Brasil,BA,Salvador,2020-06-06,21582.0,8561.0,1582.0,3236.0,560.0,308.0
Brasil,BA,Salvador,2020-06-07,22249.0,8670.0,1607.0,3336.0,584.0,312.0
Brasil,BA,Salvador,2020-06-08,22911.0,8767.0,1631.0,3436.0,609.0,315.0
Brasil,BA,Salvador,2020-06-09,23567.0,8852.0,1653.0,3534.0,633.0,318.0
Brasil,BA,Salvador,2020-06-10,24216.0,8925.0,1672.0,3632.0,658.0,320.0
Brasil,BA,Salvador,2020-06-11,24858.0,8986.0,1690.0,3728.0,684.0,322.0
Brasil,BA,Salvador,2020-06-12,25492.0,9036.0,1706.0,3823.0,709.0,323.0
Brasil,BA,Salvador,2020-06-13,26121.0,9078.0,1720.0,3917.0,735.0,325.0
Brasil,BA,Salvador,2020-06-14,26742.0,9111.0,1732.0,4010.0,760.0,326.0
Brasil,BA,Salvador,2020-06-15,27353.0,9132.0,1743.0,4102.0,786.0,326.0
Brasil,BA,Salvador,2020-06-16,27953.0,9141.0,1751.0,4192.0,812.0,326.0
Brasil,BA,Salvador,2020-06-17,28542.0,9138.0,1757.0,4280.0,838.0,326.0
Brasil,BA,Salvador,2020-06-18,29119.0,9124.0,1761.0,4367.0,863.0,325.0
Brasil,BA,Salvador,2020-06-19,29684.0,9100.0,1764.0,4452.0,889.0,324.0
Brasil,BA,Salvador,2020-06-20,30239.0,9068.0,1765.0,4535.0,915.0,322.0
Brasil,BA,Salvador,2020-06-21,30785.0,9028.0,1764.0,4617.0,940.0,320.0
Brasil,BA,Salvador,2020-06-22,31318.0,8980.0,1761.0,4697.0,966.0,318.0
Brasil,BA,Salvador,2020-06-23,31838.0,8922.0,1757.0,4775.0,991.0,316.0
Brasil,BA,Salvador,2020-06-24,32344.0,8855.0,1751.0,4851.0,1016.0,313.0
Brasil,BA,Salvador,2020-06-25,32836.0,8778.0,1743.0,4925.0,1041.0,310.0
Brasil,BA,Salvador,2020-06-26,33315.0,8692.0,1734.0,4996.0,1066.0,307.0
Brasil,BA,Salvador,2020-06-27,33781.0,8600.0,1723.0,5066.0,1091.0,303.0
Brasil,BA,Salvador,2020-06-28,34235.0,8503.0,1711.0,5134.0,1115.0,300.0
Brasil,BA,Salvador,2020-06-29,34678.0,8401.0,1697.0,5201.0,1139.0,296.0
Brasil,BA,Salvador,2020-06-30,35108.0,8293.0,1683.0,5265.0,1163.0,292.0
Brasil,BA,Salvador,2020-07-01,35523.0,8178.0,1667.0,5328.0,1186.0,287.0
Brasil,BA,Salvador,2020-07-02,35925.0,8057.0,1650.0,5388.0,1209.0,283.0
Brasil,BA,Salvador,2020-07-03,36312.0,7929.0,1631.0,5446.0,1232.0,278.0
Brasil,BA,Salvador,2020-07-04,36686.0,7797.0,1611.0,5502.0,1254.0,273.0
Brasil,BA,Salvador,2020-07-05,37048.0,7661.0,1591.0,5556.0,1276.0,268.0
Brasil,BA,Salvador,2020-07-06,37399.0,7524.0,1570.0,5609.0,1298.0,263.0
Brasil,BA,Salvador,2020-07-07,37739.0,7385.0,1548.0,5660.0,1319.0,258.0
Brasil,BA,Salvador,2020-07-08,38067.0,7243.0,1525.0,5709.0,1340.0,252.0
Brasil,BA,Salvador,2020-07-09,38381.0,7097.0,1502.0,5756.0,1361.0,247.0
Brasil,BA,Salvador,2020-07-10,38683.0,6947.0,1477.0,5802.0,1381.0,241.0
Brasil,BA,Salvador,2020-07-11,38972.0,6795.0,1452.0,5845.0,1400.0,236.0
Brasil,BA,Salvador,2020-07-12,39250.0,6642.0,1427.0,5887.0,1420.0,230.0
Brasil,BA,Salvador,2020-07-13,39518.0,6489.0,1401.0,5927.0,1438.0,224.0
Brasil,BA,Salvador,2020-07-14,39777.0,6336.0,1375.0,5966.0,1457.0,219.0
Brasil,BA,Salvador,2020-07-15,40025.0,6183.0,1349.0,6003.0,1475.0,213.0
Brasil,BA,Salvador,2020-07-16,40262.0,6029.0,1322.0,6038.0,1492.0,208.0
Brasil,BA,Salvador,2020-07-17,40489.0,5875.0,1295.0,6072.0,1509.0,202.0
Brasil,BA,Salvador,2020-07-18,40705.0,5720.0,1267.0,6105.0,1526.0,196.0
Brasil,BA,Salvador,2020-07-19,40912.0,5566.0,1240.0,6136.0,1542.0,191.0
Brasil,BA,Salvador,2020-07-20,41110.0,5412.0,1212.0,6166.0,1558.0,185.0
