Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,CE,Estado,2020-03-22,112.0,112.0,17.0,17.0,0.0,4.0
Brasil,CE,Estado,2020-03-23,116.0,108.0,16.0,17.0,1.0,4.0
Brasil,CE,Estado,2020-03-24,119.0,104.0,16.0,18.0,2.0,4.0
Brasil,CE,Estado,2020-03-25,124.0,102.0,16.0,19.0,2.0,4.0
Brasil,CE,Estado,2020-03-26,130.0,100.0,16.0,19.0,3.0,4.0
Brasil,CE,Estado,2020-03-27,137.0,101.0,16.0,21.0,4.0,4.0
Brasil,CE,Estado,2020-03-28,146.0,103.0,17.0,22.0,4.0,4.0
Brasil,CE,Estado,2020-03-29,158.0,108.0,18.0,24.0,5.0,4.0
Brasil,CE,Estado,2020-03-30,173.0,115.0,19.0,26.0,5.0,4.0
Brasil,CE,Estado,2020-03-31,192.0,126.0,21.0,29.0,6.0,5.0
Brasil,CE,Estado,2020-04-01,216.0,141.0,24.0,32.0,7.0,5.0
Brasil,CE,Estado,2020-04-02,246.0,160.0,27.0,37.0,8.0,6.0
Brasil,CE,Estado,2020-04-03,282.0,185.0,31.0,42.0,9.0,7.0
Brasil,CE,Estado,2020-04-04,327.0,216.0,36.0,49.0,10.0,8.0
Brasil,CE,Estado,2020-04-05,381.0,254.0,42.0,57.0,11.0,9.0
Brasil,CE,Estado,2020-04-06,446.0,300.0,50.0,67.0,13.0,11.0
Brasil,CE,Estado,2020-04-07,524.0,356.0,59.0,79.0,15.0,13.0
Brasil,CE,Estado,2020-04-08,617.0,422.0,69.0,93.0,17.0,16.0
Brasil,CE,Estado,2020-04-09,726.0,500.0,82.0,109.0,20.0,18.0
Brasil,CE,Estado,2020-04-10,854.0,591.0,97.0,128.0,23.0,22.0
Brasil,CE,Estado,2020-04-11,1004.0,697.0,114.0,151.0,27.0,26.0
Brasil,CE,Estado,2020-04-12,1178.0,819.0,134.0,177.0,32.0,30.0
Brasil,CE,Estado,2020-04-13,1378.0,958.0,157.0,207.0,37.0,35.0
Brasil,CE,Estado,2020-04-14,1608.0,1116.0,183.0,241.0,44.0,41.0
