Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,CE,Fortaleza,2020-03-28,304.0,280.0,42.0,42.0,4.0,10.0
Brasil,CE,Fortaleza,2020-03-29,316.0,267.0,41.0,44.0,12.0,10.0
Brasil,CE,Fortaleza,2020-03-30,332.0,261.0,41.0,46.0,18.0,10.0
Brasil,CE,Fortaleza,2020-03-31,352.0,260.0,41.0,49.0,23.0,10.0
Brasil,CE,Fortaleza,2020-04-01,376.0,264.0,42.0,53.0,27.0,10.0
Brasil,CE,Fortaleza,2020-04-02,405.0,272.0,44.0,57.0,30.0,10.0
Brasil,CE,Fortaleza,2020-04-03,438.0,285.0,47.0,62.0,34.0,11.0
Brasil,CE,Fortaleza,2020-04-04,478.0,303.0,50.0,68.0,37.0,11.0
Brasil,CE,Fortaleza,2020-04-05,524.0,325.0,54.0,75.0,41.0,12.0
Brasil,CE,Fortaleza,2020-04-06,578.0,353.0,59.0,83.0,44.0,13.0
Brasil,CE,Fortaleza,2020-04-07,639.0,387.0,65.0,92.0,49.0,14.0
Brasil,CE,Fortaleza,2020-04-08,709.0,426.0,71.0,103.0,54.0,16.0
Brasil,CE,Fortaleza,2020-04-09,788.0,471.0,79.0,115.0,59.0,17.0
Brasil,CE,Fortaleza,2020-04-10,877.0,523.0,88.0,128.0,65.0,19.0
Brasil,CE,Fortaleza,2020-04-11,978.0,582.0,98.0,143.0,73.0,21.0
Brasil,CE,Fortaleza,2020-04-12,1090.0,648.0,109.0,160.0,80.0,24.0
Brasil,CE,Fortaleza,2020-04-13,1215.0,721.0,121.0,179.0,89.0,26.0
Brasil,CE,Fortaleza,2020-04-14,1353.0,801.0,134.0,199.0,99.0,29.0
Brasil,CE,Fortaleza,2020-04-15,1506.0,889.0,149.0,222.0,110.0,33.0
Brasil,CE,Fortaleza,2020-04-16,1673.0,986.0,166.0,247.0,123.0,36.0
Brasil,CE,Fortaleza,2020-04-17,1856.0,1090.0,183.0,275.0,136.0,40.0
Brasil,CE,Fortaleza,2020-04-18,2055.0,1201.0,202.0,305.0,151.0,44.0
Brasil,CE,Fortaleza,2020-04-19,2271.0,1322.0,223.0,337.0,167.0,48.0
Brasil,CE,Fortaleza,2020-04-20,2505.0,1450.0,245.0,372.0,185.0,53.0
Brasil,CE,Fortaleza,2020-04-21,2756.0,1586.0,268.0,410.0,204.0,58.0
Brasil,CE,Fortaleza,2020-04-22,3025.0,1730.0,293.0,450.0,225.0,63.0
Brasil,CE,Fortaleza,2020-04-23,3312.0,1881.0,319.0,493.0,248.0,69.0
Brasil,CE,Fortaleza,2020-04-24,3619.0,2040.0,346.0,539.0,272.0,75.0
Brasil,CE,Fortaleza,2020-04-25,3945.0,2206.0,375.0,588.0,297.0,81.0
Brasil,CE,Fortaleza,2020-04-26,4289.0,2378.0,405.0,640.0,325.0,87.0
Brasil,CE,Fortaleza,2020-04-27,4652.0,2556.0,436.0,694.0,354.0,94.0
Brasil,CE,Fortaleza,2020-04-28,5034.0,2739.0,469.0,751.0,385.0,100.0
Brasil,CE,Fortaleza,2020-04-29,5435.0,2928.0,502.0,812.0,418.0,107.0
Brasil,CE,Fortaleza,2020-04-30,5854.0,3122.0,536.0,875.0,452.0,114.0
Brasil,CE,Fortaleza,2020-05-01,6292.0,3320.0,572.0,940.0,488.0,121.0
Brasil,CE,Fortaleza,2020-05-02,6746.0,3520.0,608.0,1008.0,526.0,128.0
Brasil,CE,Fortaleza,2020-05-03,7218.0,3723.0,644.0,1079.0,566.0,136.0
Brasil,CE,Fortaleza,2020-05-04,7706.0,3928.0,682.0,1152.0,607.0,143.0
Brasil,CE,Fortaleza,2020-05-05,8211.0,4134.0,719.0,1228.0,650.0,151.0
Brasil,CE,Fortaleza,2020-05-06,8731.0,4342.0,757.0,1306.0,695.0,158.0
Brasil,CE,Fortaleza,2020-05-07,9265.0,4548.0,796.0,1386.0,741.0,166.0
Brasil,CE,Fortaleza,2020-05-08,9812.0,4753.0,834.0,1468.0,788.0,173.0
Brasil,CE,Fortaleza,2020-05-09,10372.0,4956.0,872.0,1552.0,837.0,180.0
Brasil,CE,Fortaleza,2020-05-10,10944.0,5157.0,910.0,1638.0,887.0,187.0
Brasil,CE,Fortaleza,2020-05-11,11527.0,5355.0,948.0,1725.0,939.0,194.0
Brasil,CE,Fortaleza,2020-05-12,12120.0,5550.0,985.0,1814.0,991.0,201.0
Brasil,CE,Fortaleza,2020-05-13,12721.0,5739.0,1022.0,1905.0,1045.0,208.0
Brasil,CE,Fortaleza,2020-05-14,13329.0,5923.0,1058.0,1996.0,1099.0,215.0
Brasil,CE,Fortaleza,2020-05-15,13944.0,6100.0,1093.0,2088.0,1155.0,221.0
Brasil,CE,Fortaleza,2020-05-16,14565.0,6272.0,1128.0,2181.0,1211.0,227.0
Brasil,CE,Fortaleza,2020-05-17,15190.0,6437.0,1161.0,2275.0,1268.0,233.0
Brasil,CE,Fortaleza,2020-05-18,15819.0,6594.0,1194.0,2369.0,1325.0,238.0
Brasil,CE,Fortaleza,2020-05-19,16450.0,6744.0,1225.0,2464.0,1383.0,243.0
Brasil,CE,Fortaleza,2020-05-20,17081.0,6884.0,1255.0,2559.0,1442.0,248.0
Brasil,CE,Fortaleza,2020-05-21,17713.0,7016.0,1283.0,2653.0,1501.0,253.0
Brasil,CE,Fortaleza,2020-05-22,18344.0,7138.0,1310.0,2748.0,1560.0,257.0
Brasil,CE,Fortaleza,2020-05-23,18974.0,7251.0,1336.0,2842.0,1619.0,261.0
Brasil,CE,Fortaleza,2020-05-24,19601.0,7355.0,1360.0,2936.0,1677.0,264.0
Brasil,CE,Fortaleza,2020-05-25,20223.0,7448.0,1382.0,3030.0,1736.0,268.0
Brasil,CE,Fortaleza,2020-05-26,20842.0,7532.0,1403.0,3123.0,1795.0,270.0
Brasil,CE,Fortaleza,2020-05-27,21455.0,7605.0,1422.0,3215.0,1854.0,273.0
Brasil,CE,Fortaleza,2020-05-28,22062.0,7669.0,1439.0,3306.0,1912.0,275.0
Brasil,CE,Fortaleza,2020-05-29,22662.0,7722.0,1455.0,3396.0,1969.0,276.0
Brasil,CE,Fortaleza,2020-05-30,23254.0,7764.0,1469.0,3485.0,2027.0,278.0
Brasil,CE,Fortaleza,2020-05-31,23838.0,7796.0,1481.0,3572.0,2083.0,279.0
Brasil,CE,Fortaleza,2020-06-01,24412.0,7818.0,1491.0,3658.0,2139.0,279.0
Brasil,CE,Fortaleza,2020-06-02,24977.0,7831.0,1499.0,3743.0,2194.0,279.0
Brasil,CE,Fortaleza,2020-06-03,25533.0,7833.0,1506.0,3826.0,2249.0,279.0
Brasil,CE,Fortaleza,2020-06-04,26078.0,7827.0,1511.0,3908.0,2302.0,279.0
Brasil,CE,Fortaleza,2020-06-05,26612.0,7811.0,1515.0,3988.0,2355.0,278.0
Brasil,CE,Fortaleza,2020-06-06,27134.0,7785.0,1516.0,4066.0,2407.0,277.0
Brasil,CE,Fortaleza,2020-06-07,27644.0,7751.0,1516.0,4143.0,2458.0,275.0
Brasil,CE,Fortaleza,2020-06-08,28143.0,7708.0,1514.0,4218.0,2507.0,273.0
Brasil,CE,Fortaleza,2020-06-09,28629.0,7657.0,1511.0,4291.0,2556.0,271.0
Brasil,CE,Fortaleza,2020-06-10,29104.0,7599.0,1506.0,4362.0,2604.0,269.0
Brasil,CE,Fortaleza,2020-06-11,29566.0,7533.0,1500.0,4431.0,2650.0,266.0
Brasil,CE,Fortaleza,2020-06-12,30014.0,7460.0,1492.0,4499.0,2696.0,263.0
Brasil,CE,Fortaleza,2020-06-13,30450.0,7379.0,1483.0,4564.0,2740.0,260.0
Brasil,CE,Fortaleza,2020-06-14,30873.0,7293.0,1472.0,4627.0,2783.0,257.0
Brasil,CE,Fortaleza,2020-06-15,31283.0,7201.0,1461.0,4689.0,2825.0,253.0
Brasil,CE,Fortaleza,2020-06-16,31681.0,7103.0,1448.0,4749.0,2866.0,250.0
Brasil,CE,Fortaleza,2020-06-17,32067.0,7001.0,1434.0,4806.0,2905.0,246.0
Brasil,CE,Fortaleza,2020-06-18,32439.0,6894.0,1419.0,4862.0,2943.0,242.0
Brasil,CE,Fortaleza,2020-06-19,32798.0,6781.0,1403.0,4916.0,2980.0,237.0
Brasil,CE,Fortaleza,2020-06-20,33145.0,6664.0,1386.0,4968.0,3016.0,233.0
Brasil,CE,Fortaleza,2020-06-21,33479.0,6545.0,1368.0,5018.0,3051.0,228.0
Brasil,CE,Fortaleza,2020-06-22,33802.0,6422.0,1349.0,5067.0,3085.0,224.0
Brasil,CE,Fortaleza,2020-06-23,34113.0,6297.0,1329.0,5113.0,3117.0,219.0
Brasil,CE,Fortaleza,2020-06-24,34412.0,6169.0,1309.0,5158.0,3148.0,214.0
Brasil,CE,Fortaleza,2020-06-25,34699.0,6038.0,1288.0,5201.0,3179.0,210.0
Brasil,CE,Fortaleza,2020-06-26,34974.0,5906.0,1267.0,5243.0,3208.0,205.0
Brasil,CE,Fortaleza,2020-06-27,35239.0,5772.0,1245.0,5282.0,3236.0,200.0
Brasil,CE,Fortaleza,2020-06-28,35493.0,5637.0,1222.0,5320.0,3262.0,195.0
Brasil,CE,Fortaleza,2020-06-29,35737.0,5502.0,1200.0,5357.0,3288.0,190.0
Brasil,CE,Fortaleza,2020-06-30,35970.0,5366.0,1177.0,5392.0,3313.0,185.0
Brasil,CE,Fortaleza,2020-07-01,36193.0,5229.0,1153.0,5425.0,3337.0,180.0
Brasil,CE,Fortaleza,2020-07-02,36406.0,5092.0,1129.0,5457.0,3360.0,175.0
Brasil,CE,Fortaleza,2020-07-03,36610.0,4956.0,1105.0,5488.0,3381.0,170.0
Brasil,CE,Fortaleza,2020-07-04,36805.0,4820.0,1081.0,5517.0,3402.0,165.0
Brasil,CE,Fortaleza,2020-07-05,36991.0,4685.0,1057.0,5545.0,3422.0,160.0
Brasil,CE,Fortaleza,2020-07-06,37168.0,4551.0,1033.0,5572.0,3441.0,155.0
Brasil,CE,Fortaleza,2020-07-07,37337.0,4418.0,1009.0,5597.0,3460.0,150.0
Brasil,CE,Fortaleza,2020-07-08,37498.0,4286.0,985.0,5621.0,3477.0,146.0
Brasil,CE,Fortaleza,2020-07-09,37651.0,4155.0,961.0,5644.0,3494.0,141.0
Brasil,CE,Fortaleza,2020-07-10,37797.0,4027.0,936.0,5666.0,3509.0,136.0
Brasil,CE,Fortaleza,2020-07-11,37936.0,3900.0,913.0,5687.0,3525.0,132.0
Brasil,CE,Fortaleza,2020-07-12,38067.0,3775.0,889.0,5707.0,3539.0,127.0
Brasil,CE,Fortaleza,2020-07-13,38192.0,3652.0,865.0,5725.0,3553.0,123.0
Brasil,CE,Fortaleza,2020-07-14,38311.0,3530.0,842.0,5743.0,3566.0,119.0
Brasil,CE,Fortaleza,2020-07-15,38423.0,3411.0,819.0,5760.0,3578.0,114.0
Brasil,CE,Fortaleza,2020-07-16,38530.0,3295.0,796.0,5776.0,3590.0,110.0
Brasil,CE,Fortaleza,2020-07-17,38631.0,3181.0,773.0,5791.0,3601.0,106.0
Brasil,CE,Fortaleza,2020-07-18,38727.0,3069.0,751.0,5805.0,3611.0,102.0
Brasil,CE,Fortaleza,2020-07-19,38818.0,2960.0,729.0,5819.0,3621.0,98.0
Brasil,CE,Fortaleza,2020-07-20,38904.0,2853.0,708.0,5832.0,3631.0,95.0
Brasil,CE,Fortaleza,2020-07-21,38985.0,2748.0,687.0,5844.0,3640.0,91.0
Brasil,CE,Fortaleza,2020-07-22,39061.0,2647.0,666.0,5856.0,3648.0,87.0
Brasil,CE,Fortaleza,2020-07-23,39134.0,2548.0,645.0,5866.0,3657.0,84.0
Brasil,CE,Fortaleza,2020-07-24,39202.0,2451.0,625.0,5877.0,3664.0,81.0
Brasil,CE,Fortaleza,2020-07-25,39266.0,2358.0,605.0,5886.0,3671.0,77.0
Brasil,CE,Fortaleza,2020-07-26,39327.0,2266.0,586.0,5895.0,3678.0,74.0
Brasil,CE,Fortaleza,2020-07-27,39384.0,2178.0,567.0,5904.0,3685.0,71.0
Brasil,CE,Fortaleza,2020-07-28,39438.0,2091.0,549.0,5912.0,3691.0,68.0
Brasil,CE,Fortaleza,2020-07-29,39489.0,2008.0,531.0,5920.0,3696.0,65.0
Brasil,CE,Fortaleza,2020-07-30,39537.0,1927.0,513.0,5927.0,3702.0,62.0
Brasil,CE,Fortaleza,2020-07-31,39582.0,1849.0,496.0,5934.0,3707.0,60.0
Brasil,CE,Fortaleza,2020-08-01,39624.0,1773.0,479.0,5940.0,3712.0,57.0
Brasil,CE,Fortaleza,2020-08-02,39664.0,1700.0,463.0,5946.0,3716.0,55.0
Brasil,CE,Fortaleza,2020-08-03,39702.0,1629.0,447.0,5952.0,3720.0,52.0
Brasil,CE,Fortaleza,2020-08-04,39737.0,1560.0,431.0,5957.0,3724.0,50.0
Brasil,CE,Fortaleza,2020-08-05,39770.0,1494.0,416.0,5962.0,3728.0,48.0
Brasil,CE,Fortaleza,2020-08-06,39801.0,1430.0,401.0,5966.0,3732.0,45.0
