Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,MA,São Luís,2020-04-06,121.0,109.0,16.0,16.0,2.0,4.0
Brasil,MA,São Luís,2020-04-07,158.0,137.0,21.0,22.0,3.0,5.0
Brasil,MA,São Luís,2020-04-08,188.0,157.0,24.0,26.0,4.0,6.0
Brasil,MA,São Luís,2020-04-09,217.0,175.0,27.0,31.0,5.0,7.0
Brasil,MA,São Luís,2020-04-10,247.0,192.0,30.0,35.0,7.0,7.0
Brasil,MA,São Luís,2020-04-11,280.0,211.0,34.0,40.0,8.0,8.0
Brasil,MA,São Luís,2020-04-12,316.0,232.0,37.0,46.0,10.0,9.0
Brasil,MA,São Luís,2020-04-13,356.0,255.0,41.0,52.0,12.0,9.0
Brasil,MA,São Luís,2020-04-14,402.0,282.0,46.0,58.0,13.0,10.0
Brasil,MA,São Luís,2020-04-15,452.0,313.0,51.0,66.0,15.0,12.0
Brasil,MA,São Luís,2020-04-16,509.0,346.0,57.0,75.0,18.0,13.0
Brasil,MA,São Luís,2020-04-17,572.0,384.0,63.0,84.0,20.0,14.0
Brasil,MA,São Luís,2020-04-18,641.0,426.0,70.0,94.0,23.0,16.0
Brasil,MA,São Luís,2020-04-19,717.0,471.0,78.0,106.0,26.0,17.0
Brasil,MA,São Luís,2020-04-20,800.0,520.0,86.0,118.0,29.0,19.0
Brasil,MA,São Luís,2020-04-21,890.0,573.0,95.0,132.0,32.0,21.0
Brasil,MA,São Luís,2020-04-22,989.0,630.0,105.0,146.0,36.0,23.0
Brasil,MA,São Luís,2020-04-23,1094.0,691.0,116.0,162.0,41.0,25.0
Brasil,MA,São Luís,2020-04-24,1208.0,755.0,127.0,179.0,45.0,28.0
Brasil,MA,São Luís,2020-04-25,1330.0,822.0,138.0,198.0,50.0,30.0
Brasil,MA,São Luís,2020-04-26,1460.0,894.0,151.0,217.0,56.0,33.0
Brasil,MA,São Luís,2020-04-27,1598.0,969.0,164.0,238.0,62.0,36.0
Brasil,MA,São Luís,2020-04-28,1744.0,1046.0,177.0,260.0,68.0,38.0
Brasil,MA,São Luís,2020-04-29,1898.0,1126.0,191.0,283.0,75.0,41.0
Brasil,MA,São Luís,2020-04-30,2060.0,1208.0,205.0,307.0,82.0,44.0
Brasil,MA,São Luís,2020-05-01,2230.0,1292.0,220.0,333.0,90.0,47.0
Brasil,MA,São Luís,2020-05-02,2408.0,1379.0,236.0,359.0,98.0,50.0
Brasil,MA,São Luís,2020-05-03,2593.0,1467.0,251.0,387.0,107.0,54.0
Brasil,MA,São Luís,2020-05-04,2785.0,1556.0,267.0,416.0,116.0,57.0
Brasil,MA,São Luís,2020-05-05,2983.0,1645.0,283.0,446.0,126.0,60.0
Brasil,MA,São Luís,2020-05-06,3188.0,1734.0,300.0,476.0,136.0,63.0
Brasil,MA,São Luís,2020-05-07,3399.0,1825.0,316.0,508.0,147.0,67.0
Brasil,MA,São Luís,2020-05-08,3617.0,1915.0,333.0,541.0,158.0,70.0
Brasil,MA,São Luís,2020-05-09,3839.0,2004.0,349.0,574.0,169.0,73.0
Brasil,MA,São Luís,2020-05-10,4067.0,2092.0,366.0,608.0,181.0,76.0
Brasil,MA,São Luís,2020-05-11,4298.0,2178.0,382.0,643.0,194.0,79.0
Brasil,MA,São Luís,2020-05-12,4533.0,2262.0,398.0,678.0,207.0,82.0
