Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,PA,Estado,2020-04-06,102.0,84.0,13.0,13.0,3.0,3.0
Brasil,PA,Estado,2020-04-07,106.0,81.0,12.0,13.0,5.0,3.0
Brasil,PA,Estado,2020-04-08,113.0,82.0,13.0,14.0,6.0,3.0
Brasil,PA,Estado,2020-04-09,122.0,85.0,13.0,16.0,7.0,3.0
Brasil,PA,Estado,2020-04-10,134.0,91.0,14.0,17.0,7.0,3.0
Brasil,PA,Estado,2020-04-11,150.0,99.0,16.0,20.0,8.0,4.0
Brasil,PA,Estado,2020-04-12,169.0,111.0,18.0,23.0,9.0,4.0
Brasil,PA,Estado,2020-04-13,193.0,126.0,21.0,26.0,10.0,5.0
Brasil,PA,Estado,2020-04-14,222.0,146.0,24.0,31.0,11.0,5.0
Brasil,PA,Estado,2020-04-15,258.0,170.0,28.0,36.0,12.0,6.0
Brasil,PA,Estado,2020-04-16,302.0,201.0,33.0,43.0,13.0,7.0
Brasil,PA,Estado,2020-04-17,354.0,237.0,39.0,50.0,15.0,9.0
Brasil,PA,Estado,2020-04-18,417.0,282.0,46.0,60.0,17.0,10.0
Brasil,PA,Estado,2020-04-19,492.0,334.0,55.0,71.0,20.0,12.0
Brasil,PA,Estado,2020-04-20,581.0,396.0,65.0,84.0,23.0,15.0
Brasil,PA,Estado,2020-04-21,685.0,469.0,77.0,100.0,27.0,17.0
Brasil,PA,Estado,2020-04-22,807.0,553.0,90.0,118.0,31.0,20.0
Brasil,PA,Estado,2020-04-23,947.0,650.0,106.0,139.0,36.0,24.0
Brasil,PA,Estado,2020-04-24,1110.0,761.0,124.0,164.0,42.0,28.0
Brasil,PA,Estado,2020-04-25,1297.0,888.0,145.0,192.0,49.0,33.0
Brasil,PA,Estado,2020-04-26,1509.0,1031.0,169.0,224.0,57.0,38.0
Brasil,PA,Estado,2020-04-27,1751.0,1192.0,195.0,260.0,67.0,44.0
Brasil,PA,Estado,2020-04-28,2024.0,1372.0,225.0,301.0,77.0,51.0
Brasil,PA,Estado,2020-04-29,2331.0,1572.0,259.0,347.0,89.0,58.0
Brasil,PA,Estado,2020-04-30,2675.0,1794.0,295.0,398.0,102.0,66.0
Brasil,PA,Estado,2020-05-01,3057.0,2038.0,336.0,456.0,117.0,75.0
Brasil,PA,Estado,2020-05-02,3482.0,2306.0,381.0,520.0,134.0,85.0
Brasil,PA,Estado,2020-05-03,3951.0,2599.0,430.0,590.0,152.0,96.0
Brasil,PA,Estado,2020-05-04,4467.0,2916.0,484.0,667.0,173.0,107.0
Brasil,PA,Estado,2020-05-05,5031.0,3259.0,542.0,752.0,196.0,120.0
Brasil,PA,Estado,2020-05-06,5648.0,3629.0,604.0,845.0,221.0,133.0
Brasil,PA,Estado,2020-05-07,6320.0,4026.0,672.0,945.0,248.0,148.0
Brasil,PA,Estado,2020-05-08,7047.0,4450.0,744.0,1054.0,278.0,164.0
Brasil,PA,Estado,2020-05-09,7831.0,4901.0,821.0,1172.0,310.0,180.0
Brasil,PA,Estado,2020-05-10,8676.0,5379.0,903.0,1299.0,345.0,197.0
Brasil,PA,Estado,2020-05-11,9583.0,5885.0,991.0,1435.0,383.0,216.0
Brasil,PA,Estado,2020-05-12,10552.0,6417.0,1083.0,1580.0,424.0,235.0
Brasil,PA,Estado,2020-05-13,11585.0,6973.0,1179.0,1735.0,467.0,256.0
Brasil,PA,Estado,2020-05-14,12682.0,7555.0,1281.0,1900.0,514.0,277.0
Brasil,PA,Estado,2020-05-15,13845.0,8161.0,1387.0,2074.0,564.0,299.0
Brasil,PA,Estado,2020-05-16,15074.0,8791.0,1497.0,2258.0,616.0,322.0
Brasil,PA,Estado,2020-05-17,16369.0,9442.0,1612.0,2453.0,672.0,345.0
Brasil,PA,Estado,2020-05-18,17729.0,10111.0,1731.0,2657.0,731.0,370.0
Brasil,PA,Estado,2020-05-19,19154.0,10799.0,1853.0,2870.0,793.0,395.0
Brasil,PA,Estado,2020-05-20,20645.0,11504.0,1979.0,3094.0,858.0,420.0
Brasil,PA,Estado,2020-05-21,22199.0,12225.0,2109.0,3327.0,927.0,446.0
Brasil,PA,Estado,2020-05-22,23816.0,12957.0,2241.0,3570.0,998.0,473.0
Brasil,PA,Estado,2020-05-23,25493.0,13698.0,2376.0,3821.0,1072.0,500.0
Brasil,PA,Estado,2020-05-24,27228.0,14448.0,2513.0,4082.0,1150.0,527.0
Brasil,PA,Estado,2020-05-25,29022.0,15204.0,2652.0,4351.0,1230.0,554.0
Brasil,PA,Estado,2020-05-26,30871.0,15964.0,2792.0,4628.0,1313.0,581.0
Brasil,PA,Estado,2020-05-27,32773.0,16724.0,2933.0,4913.0,1399.0,608.0
Brasil,PA,Estado,2020-05-28,34723.0,17482.0,3075.0,5206.0,1487.0,636.0
Brasil,PA,Estado,2020-05-29,36721.0,18235.0,3217.0,5505.0,1578.0,663.0
Brasil,PA,Estado,2020-05-30,38763.0,18982.0,3358.0,5812.0,1672.0,689.0
Brasil,PA,Estado,2020-05-31,40847.0,19721.0,3500.0,6124.0,1767.0,716.0
Brasil,PA,Estado,2020-06-01,42969.0,20449.0,3640.0,6443.0,1864.0,742.0
Brasil,PA,Estado,2020-06-02,45124.0,21161.0,3778.0,6766.0,1964.0,767.0
Brasil,PA,Estado,2020-06-03,47311.0,21857.0,3914.0,7094.0,2066.0,792.0
Brasil,PA,Estado,2020-06-04,49524.0,22534.0,4048.0,7426.0,2169.0,816.0
Brasil,PA,Estado,2020-06-05,51762.0,23192.0,4180.0,7762.0,2273.0,839.0
Brasil,PA,Estado,2020-06-06,54021.0,23827.0,4308.0,8100.0,2379.0,861.0
Brasil,PA,Estado,2020-06-07,56296.0,24438.0,4433.0,8442.0,2486.0,883.0
Brasil,PA,Estado,2020-06-08,58584.0,25021.0,4554.0,8785.0,2594.0,903.0
Brasil,PA,Estado,2020-06-09,60881.0,25577.0,4670.0,9129.0,2702.0,922.0
Brasil,PA,Estado,2020-06-10,63184.0,26102.0,4782.0,9475.0,2812.0,941.0
Brasil,PA,Estado,2020-06-11,65489.0,26598.0,4890.0,9821.0,2922.0,958.0
Brasil,PA,Estado,2020-06-12,67793.0,27060.0,4992.0,10166.0,3032.0,974.0
Brasil,PA,Estado,2020-06-13,70093.0,27490.0,5089.0,10511.0,3142.0,988.0
Brasil,PA,Estado,2020-06-14,72384.0,27886.0,5181.0,10855.0,3252.0,1002.0
Brasil,PA,Estado,2020-06-15,74666.0,28246.0,5266.0,11197.0,3362.0,1014.0
Brasil,PA,Estado,2020-06-16,76933.0,28571.0,5346.0,11537.0,3471.0,1025.0
Brasil,PA,Estado,2020-06-17,79182.0,28860.0,5420.0,11875.0,3580.0,1034.0
Brasil,PA,Estado,2020-06-18,81410.0,29110.0,5487.0,12209.0,3689.0,1042.0
Brasil,PA,Estado,2020-06-19,83616.0,29324.0,5549.0,12540.0,3796.0,1049.0
Brasil,PA,Estado,2020-06-20,85797.0,29502.0,5604.0,12867.0,3903.0,1054.0
Brasil,PA,Estado,2020-06-21,87953.0,29646.0,5652.0,13190.0,4009.0,1059.0
Brasil,PA,Estado,2020-06-22,90080.0,29756.0,5695.0,13509.0,4113.0,1061.0
Brasil,PA,Estado,2020-06-23,92176.0,29829.0,5732.0,13824.0,4215.0,1063.0
Brasil,PA,Estado,2020-06-24,94236.0,29866.0,5761.0,14133.0,4317.0,1063.0
Brasil,PA,Estado,2020-06-25,96258.0,29864.0,5784.0,14436.0,4417.0,1062.0
Brasil,PA,Estado,2020-06-26,98243.0,29828.0,5801.0,14734.0,4516.0,1060.0
Brasil,PA,Estado,2020-06-27,100191.0,29760.0,5811.0,15026.0,4613.0,1057.0
Brasil,PA,Estado,2020-06-28,102099.0,29661.0,5816.0,15312.0,4708.0,1052.0
Brasil,PA,Estado,2020-06-29,103965.0,29530.0,5815.0,15592.0,4801.0,1046.0
Brasil,PA,Estado,2020-06-30,105790.0,29367.0,5807.0,15866.0,4892.0,1039.0
Brasil,PA,Estado,2020-07-01,107572.0,29176.0,5794.0,16133.0,4982.0,1032.0
Brasil,PA,Estado,2020-07-02,109310.0,28958.0,5776.0,16394.0,5069.0,1023.0
Brasil,PA,Estado,2020-07-03,111004.0,28712.0,5752.0,16648.0,5155.0,1013.0
Brasil,PA,Estado,2020-07-04,112653.0,28440.0,5723.0,16895.0,5238.0,1002.0
Brasil,PA,Estado,2020-07-05,114257.0,28144.0,5689.0,17136.0,5319.0,991.0
Brasil,PA,Estado,2020-07-06,115815.0,27825.0,5650.0,17370.0,5398.0,978.0
Brasil,PA,Estado,2020-07-07,117329.0,27485.0,5606.0,17597.0,5475.0,965.0
Brasil,PA,Estado,2020-07-08,118799.0,27126.0,5558.0,17817.0,5549.0,952.0
Brasil,PA,Estado,2020-07-09,120222.0,26748.0,5507.0,18031.0,5622.0,937.0
Brasil,PA,Estado,2020-07-10,121600.0,26351.0,5450.0,18237.0,5692.0,922.0
Brasil,PA,Estado,2020-07-11,122933.0,25937.0,5391.0,18437.0,5761.0,906.0
Brasil,PA,Estado,2020-07-12,124222.0,25509.0,5327.0,18631.0,5827.0,890.0
Brasil,PA,Estado,2020-07-13,125467.0,25069.0,5261.0,18817.0,5891.0,874.0
Brasil,PA,Estado,2020-07-14,126670.0,24616.0,5191.0,18998.0,5952.0,857.0
Brasil,PA,Estado,2020-07-15,127829.0,24153.0,5119.0,19172.0,6012.0,840.0
Brasil,PA,Estado,2020-07-16,128946.0,23679.0,5044.0,19339.0,6070.0,822.0
