Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,PB,Estado,2020-04-12,101.0,23.0,3.0,3.0,13.0,1.0
Brasil,PB,Estado,2020-04-13,102.0,22.0,3.0,4.0,13.0,1.0
Brasil,PB,Estado,2020-04-14,103.0,22.0,3.0,4.0,13.0,1.0
Brasil,PB,Estado,2020-04-15,105.0,22.0,4.0,4.0,13.0,1.0
Brasil,PB,Estado,2020-04-16,108.0,23.0,4.0,4.0,14.0,1.0
Brasil,PB,Estado,2020-04-17,111.0,25.0,4.0,5.0,14.0,1.0
Brasil,PB,Estado,2020-04-18,115.0,27.0,4.0,6.0,14.0,1.0
Brasil,PB,Estado,2020-04-19,120.0,31.0,5.0,6.0,14.0,1.0
Brasil,PB,Estado,2020-04-20,127.0,35.0,6.0,7.0,14.0,1.0
Brasil,PB,Estado,2020-04-21,136.0,41.0,7.0,9.0,14.0,2.0
Brasil,PB,Estado,2020-04-22,146.0,49.0,8.0,10.0,14.0,2.0
Brasil,PB,Estado,2020-04-23,159.0,58.0,10.0,12.0,14.0,2.0
Brasil,PB,Estado,2020-04-24,176.0,70.0,11.0,15.0,15.0,3.0
Brasil,PB,Estado,2020-04-25,196.0,85.0,14.0,18.0,15.0,3.0
Brasil,PB,Estado,2020-04-26,220.0,103.0,17.0,21.0,15.0,4.0
Brasil,PB,Estado,2020-04-27,250.0,124.0,20.0,26.0,16.0,5.0
Brasil,PB,Estado,2020-04-28,285.0,150.0,24.0,31.0,16.0,6.0
Brasil,PB,Estado,2020-04-29,327.0,181.0,29.0,37.0,17.0,7.0
Brasil,PB,Estado,2020-04-30,376.0,217.0,35.0,45.0,18.0,8.0
Brasil,PB,Estado,2020-05-01,435.0,258.0,42.0,54.0,19.0,10.0
Brasil,PB,Estado,2020-05-02,503.0,307.0,50.0,64.0,20.0,11.0
Brasil,PB,Estado,2020-05-03,582.0,363.0,59.0,76.0,21.0,13.0
Brasil,PB,Estado,2020-05-04,673.0,427.0,70.0,89.0,23.0,16.0
Brasil,PB,Estado,2020-05-05,778.0,500.0,82.0,105.0,25.0,18.0
Brasil,PB,Estado,2020-05-06,898.0,583.0,95.0,123.0,27.0,21.0
Brasil,PB,Estado,2020-05-07,1034.0,675.0,111.0,143.0,29.0,25.0
Brasil,PB,Estado,2020-05-08,1187.0,779.0,128.0,166.0,32.0,29.0
