Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,PE,Estado,2020-04-02,106.0,52.0,8.0,8.0,9.0,2.0
Brasil,PE,Estado,2020-04-03,128.0,68.0,10.0,11.0,11.0,3.0
Brasil,PE,Estado,2020-04-04,147.0,80.0,12.0,14.0,13.0,3.0
Brasil,PE,Estado,2020-04-05,166.0,92.0,14.0,17.0,15.0,3.0
Brasil,PE,Estado,2020-04-06,187.0,106.0,17.0,20.0,16.0,4.0
Brasil,PE,Estado,2020-04-07,212.0,121.0,19.0,24.0,18.0,4.0
Brasil,PE,Estado,2020-04-08,241.0,140.0,22.0,28.0,20.0,5.0
Brasil,PE,Estado,2020-04-09,275.0,163.0,26.0,33.0,22.0,6.0
Brasil,PE,Estado,2020-04-10,316.0,190.0,31.0,39.0,25.0,7.0
Brasil,PE,Estado,2020-04-11,364.0,222.0,36.0,47.0,28.0,8.0
Brasil,PE,Estado,2020-04-12,420.0,259.0,42.0,55.0,31.0,10.0
Brasil,PE,Estado,2020-04-13,485.0,303.0,49.0,65.0,35.0,11.0
Brasil,PE,Estado,2020-04-14,561.0,352.0,57.0,76.0,40.0,13.0
Brasil,PE,Estado,2020-04-15,648.0,410.0,67.0,89.0,45.0,15.0
Brasil,PE,Estado,2020-04-16,747.0,475.0,78.0,104.0,52.0,18.0
Brasil,PE,Estado,2020-04-17,860.0,548.0,90.0,121.0,59.0,20.0
Brasil,PE,Estado,2020-04-18,988.0,630.0,103.0,140.0,67.0,23.0
Brasil,PE,Estado,2020-04-19,1132.0,722.0,119.0,162.0,76.0,27.0
Brasil,PE,Estado,2020-04-20,1294.0,824.0,135.0,186.0,87.0,30.0
Brasil,PE,Estado,2020-04-21,1474.0,936.0,154.0,213.0,99.0,35.0
Brasil,PE,Estado,2020-04-22,1675.0,1060.0,175.0,243.0,112.0,39.0
Brasil,PE,Estado,2020-04-23,1897.0,1196.0,198.0,276.0,127.0,44.0
Brasil,PE,Estado,2020-04-24,2142.0,1344.0,222.0,313.0,143.0,49.0
Brasil,PE,Estado,2020-04-25,2411.0,1504.0,249.0,354.0,161.0,55.0
Brasil,PE,Estado,2020-04-26,2705.0,1676.0,279.0,398.0,181.0,62.0
Brasil,PE,Estado,2020-04-27,3026.0,1863.0,310.0,446.0,203.0,68.0
Brasil,PE,Estado,2020-04-28,3375.0,2062.0,344.0,498.0,227.0,76.0
Brasil,PE,Estado,2020-04-29,3752.0,2274.0,380.0,555.0,254.0,84.0
Brasil,PE,Estado,2020-04-30,4158.0,2500.0,419.0,616.0,282.0,92.0
Brasil,PE,Estado,2020-05-01,4595.0,2739.0,460.0,681.0,312.0,101.0
Brasil,PE,Estado,2020-05-02,5064.0,2991.0,504.0,751.0,345.0,110.0
