Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,PI,Estado,2020-04-17,102.0,54.0,8.0,8.0,8.0,2.0
Brasil,PI,Estado,2020-04-18,104.0,52.0,8.0,8.0,8.0,2.0
Brasil,PI,Estado,2020-04-19,106.0,50.0,8.0,9.0,9.0,2.0
Brasil,PI,Estado,2020-04-20,108.0,49.0,8.0,9.0,9.0,2.0
Brasil,PI,Estado,2020-04-21,110.0,48.0,8.0,9.0,9.0,2.0
Brasil,PI,Estado,2020-04-22,113.0,48.0,8.0,10.0,9.0,2.0
Brasil,PI,Estado,2020-04-23,117.0,49.0,8.0,10.0,9.0,2.0
Brasil,PI,Estado,2020-04-24,122.0,51.0,8.0,11.0,9.0,2.0
Brasil,PI,Estado,2020-04-25,129.0,54.0,9.0,12.0,10.0,2.0
Brasil,PI,Estado,2020-04-26,137.0,58.0,10.0,13.0,10.0,2.0
Brasil,PI,Estado,2020-04-27,146.0,63.0,11.0,15.0,10.0,2.0
Brasil,PI,Estado,2020-04-28,158.0,70.0,12.0,16.0,10.0,3.0
Brasil,PI,Estado,2020-04-29,172.0,79.0,13.0,19.0,10.0,3.0
Brasil,PI,Estado,2020-04-30,189.0,91.0,15.0,21.0,11.0,3.0
Brasil,PI,Estado,2020-05-01,210.0,105.0,18.0,24.0,11.0,4.0
Brasil,PI,Estado,2020-05-02,234.0,121.0,20.0,28.0,12.0,4.0
Brasil,PI,Estado,2020-05-03,262.0,141.0,23.0,32.0,12.0,5.0
Brasil,PI,Estado,2020-05-04,296.0,164.0,27.0,37.0,13.0,6.0
Brasil,PI,Estado,2020-05-05,334.0,191.0,32.0,43.0,13.0,7.0
Brasil,PI,Estado,2020-05-06,379.0,222.0,37.0,50.0,14.0,8.0
Brasil,PI,Estado,2020-05-07,431.0,257.0,43.0,57.0,15.0,9.0
Brasil,PI,Estado,2020-05-08,490.0,298.0,49.0,66.0,16.0,11.0
Brasil,PI,Estado,2020-05-09,558.0,344.0,57.0,76.0,17.0,13.0
Brasil,PI,Estado,2020-05-10,634.0,395.0,65.0,88.0,18.0,15.0
Brasil,PI,Estado,2020-05-11,720.0,453.0,75.0,101.0,20.0,17.0
Brasil,PI,Estado,2020-05-12,817.0,517.0,85.0,115.0,22.0,19.0
Brasil,PI,Estado,2020-05-13,926.0,588.0,97.0,132.0,24.0,22.0
Brasil,PI,Estado,2020-05-14,1046.0,666.0,110.0,150.0,26.0,25.0
Brasil,PI,Estado,2020-05-15,1179.0,751.0,125.0,170.0,29.0,28.0
Brasil,PI,Estado,2020-05-16,1326.0,844.0,140.0,192.0,32.0,31.0
Brasil,PI,Estado,2020-05-17,1487.0,945.0,157.0,216.0,35.0,35.0
Brasil,PI,Estado,2020-05-18,1664.0,1054.0,176.0,242.0,39.0,39.0
Brasil,PI,Estado,2020-05-19,1857.0,1172.0,196.0,271.0,42.0,43.0
Brasil,PI,Estado,2020-05-20,2066.0,1298.0,217.0,303.0,47.0,48.0
Brasil,PI,Estado,2020-05-21,2292.0,1431.0,240.0,337.0,52.0,53.0
Brasil,PI,Estado,2020-05-22,2536.0,1574.0,264.0,373.0,57.0,58.0
Brasil,PI,Estado,2020-05-23,2800.0,1726.0,290.0,413.0,63.0,63.0
Brasil,PI,Estado,2020-05-24,3081.0,1886.0,318.0,455.0,69.0,69.0
Brasil,PI,Estado,2020-05-25,3382.0,2054.0,347.0,500.0,76.0,75.0
