Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,RJ,Estado,2020-03-20,109.0,97.0,15.0,15.0,2.0,4.0
Brasil,RJ,Estado,2020-03-21,112.0,92.0,14.0,15.0,4.0,3.0
Brasil,RJ,Estado,2020-03-22,115.0,88.0,14.0,16.0,6.0,3.0
Brasil,RJ,Estado,2020-03-23,119.0,85.0,13.0,16.0,8.0,3.0
Brasil,RJ,Estado,2020-03-24,124.0,83.0,13.0,17.0,9.0,3.0
Brasil,RJ,Estado,2020-03-25,130.0,83.0,14.0,18.0,10.0,3.0
Brasil,RJ,Estado,2020-03-26,138.0,85.0,14.0,19.0,11.0,3.0
Brasil,RJ,Estado,2020-03-27,148.0,88.0,15.0,20.0,12.0,3.0
Brasil,RJ,Estado,2020-03-28,160.0,94.0,16.0,22.0,13.0,3.0
Brasil,RJ,Estado,2020-03-29,176.0,103.0,17.0,25.0,14.0,4.0
Brasil,RJ,Estado,2020-03-30,195.0,114.0,19.0,28.0,15.0,4.0
Brasil,RJ,Estado,2020-03-31,219.0,129.0,22.0,31.0,16.0,5.0
Brasil,RJ,Estado,2020-04-01,249.0,148.0,25.0,36.0,18.0,5.0
Brasil,RJ,Estado,2020-04-02,285.0,172.0,29.0,41.0,20.0,6.0
Brasil,RJ,Estado,2020-04-03,328.0,201.0,33.0,47.0,22.0,7.0
Brasil,RJ,Estado,2020-04-04,379.0,236.0,39.0,55.0,25.0,9.0
Brasil,RJ,Estado,2020-04-05,441.0,278.0,46.0,64.0,29.0,10.0
Brasil,RJ,Estado,2020-04-06,514.0,328.0,54.0,75.0,33.0,12.0
Brasil,RJ,Estado,2020-04-07,599.0,386.0,63.0,88.0,38.0,14.0
Brasil,RJ,Estado,2020-04-08,699.0,454.0,74.0,103.0,44.0,17.0
Brasil,RJ,Estado,2020-04-09,815.0,532.0,87.0,121.0,51.0,20.0
Brasil,RJ,Estado,2020-04-10,950.0,622.0,102.0,141.0,59.0,23.0
Brasil,RJ,Estado,2020-04-11,1104.0,725.0,119.0,164.0,69.0,27.0
Brasil,RJ,Estado,2020-04-12,1280.0,841.0,138.0,190.0,80.0,31.0
Brasil,RJ,Estado,2020-04-13,1480.0,972.0,159.0,220.0,93.0,36.0
Brasil,RJ,Estado,2020-04-14,1707.0,1119.0,184.0,254.0,107.0,41.0
Brasil,RJ,Estado,2020-04-15,1961.0,1282.0,211.0,292.0,124.0,47.0
Brasil,RJ,Estado,2020-04-16,2246.0,1463.0,241.0,335.0,143.0,54.0
Brasil,RJ,Estado,2020-04-17,2565.0,1662.0,274.0,383.0,164.0,61.0
Brasil,RJ,Estado,2020-04-18,2919.0,1882.0,310.0,436.0,188.0,69.0
Brasil,RJ,Estado,2020-04-19,3310.0,2121.0,351.0,495.0,214.0,78.0
Brasil,RJ,Estado,2020-04-20,3740.0,2381.0,394.0,559.0,244.0,88.0
Brasil,RJ,Estado,2020-04-21,4212.0,2662.0,441.0,630.0,277.0,98.0
Brasil,RJ,Estado,2020-04-22,4728.0,2966.0,493.0,707.0,313.0,109.0
Brasil,RJ,Estado,2020-04-23,5291.0,3294.0,548.0,792.0,352.0,121.0
Brasil,RJ,Estado,2020-04-24,5901.0,3643.0,607.0,883.0,396.0,134.0
Brasil,RJ,Estado,2020-04-25,6560.0,4014.0,671.0,982.0,444.0,147.0
Brasil,RJ,Estado,2020-04-26,7270.0,4407.0,738.0,1089.0,495.0,162.0
Brasil,RJ,Estado,2020-04-27,8033.0,4825.0,810.0,1203.0,551.0,177.0
Brasil,RJ,Estado,2020-04-28,8851.0,5266.0,886.0,1326.0,612.0,193.0
Brasil,RJ,Estado,2020-04-29,9724.0,5728.0,965.0,1457.0,677.0,210.0
Brasil,RJ,Estado,2020-04-30,10651.0,6210.0,1049.0,1596.0,747.0,228.0
Brasil,RJ,Estado,2020-05-01,11634.0,6713.0,1137.0,1743.0,822.0,246.0
Brasil,RJ,Estado,2020-05-02,12677.0,7237.0,1228.0,1900.0,902.0,265.0
Brasil,RJ,Estado,2020-05-03,13779.0,7782.0,1324.0,2065.0,987.0,285.0
Brasil,RJ,Estado,2020-05-04,14937.0,8343.0,1423.0,2239.0,1077.0,305.0
Brasil,RJ,Estado,2020-05-05,16151.0,8919.0,1525.0,2421.0,1172.0,326.0
Brasil,RJ,Estado,2020-05-06,17422.0,9509.0,1630.0,2612.0,1273.0,348.0
Brasil,RJ,Estado,2020-05-07,18751.0,10114.0,1738.0,2811.0,1379.0,370.0
Brasil,RJ,Estado,2020-05-08,20138.0,10734.0,1849.0,3019.0,1490.0,392.0
Brasil,RJ,Estado,2020-05-09,21579.0,11363.0,1962.0,3235.0,1606.0,415.0
Brasil,RJ,Estado,2020-05-10,23073.0,12000.0,2078.0,3459.0,1727.0,438.0
Brasil,RJ,Estado,2020-05-11,24618.0,12641.0,2195.0,3691.0,1854.0,461.0
Brasil,RJ,Estado,2020-05-12,26214.0,13287.0,2313.0,3930.0,1986.0,484.0
Brasil,RJ,Estado,2020-05-13,27860.0,13938.0,2433.0,4177.0,2122.0,508.0
Brasil,RJ,Estado,2020-05-14,29555.0,14592.0,2554.0,4431.0,2263.0,531.0
Brasil,RJ,Estado,2020-05-15,31295.0,15245.0,2676.0,4692.0,2409.0,555.0
Brasil,RJ,Estado,2020-05-16,33075.0,15892.0,2797.0,4959.0,2559.0,578.0
Brasil,RJ,Estado,2020-05-17,34894.0,16532.0,2919.0,5232.0,2714.0,601.0
Brasil,RJ,Estado,2020-05-18,36751.0,17165.0,3039.0,5511.0,2874.0,623.0
Brasil,RJ,Estado,2020-05-19,38644.0,17791.0,3159.0,5795.0,3036.0,646.0
Brasil,RJ,Estado,2020-05-20,40572.0,18409.0,3279.0,6084.0,3203.0,668.0
Brasil,RJ,Estado,2020-05-21,42528.0,19014.0,3396.0,6377.0,3373.0,689.0
Brasil,RJ,Estado,2020-05-22,44510.0,19601.0,3512.0,6675.0,3546.0,710.0
Brasil,RJ,Estado,2020-05-23,46513.0,20171.0,3625.0,6975.0,3723.0,730.0
Brasil,RJ,Estado,2020-05-24,48536.0,20722.0,3736.0,7279.0,3902.0,749.0
Brasil,RJ,Estado,2020-05-25,50578.0,21254.0,3844.0,7585.0,4084.0,768.0
Brasil,RJ,Estado,2020-05-26,52636.0,21768.0,3949.0,7894.0,4268.0,786.0
Brasil,RJ,Estado,2020-05-27,54706.0,22260.0,4051.0,8204.0,4453.0,803.0
Brasil,RJ,Estado,2020-05-28,56784.0,22727.0,4150.0,8516.0,4641.0,820.0
Brasil,RJ,Estado,2020-05-29,58865.0,23167.0,4244.0,8828.0,4830.0,835.0
Brasil,RJ,Estado,2020-05-30,60948.0,23580.0,4334.0,9140.0,5020.0,849.0
Brasil,RJ,Estado,2020-05-31,63030.0,23966.0,4420.0,9453.0,5211.0,862.0
Brasil,RJ,Estado,2020-06-01,65110.0,24326.0,4501.0,9765.0,5403.0,875.0
Brasil,RJ,Estado,2020-06-02,67185.0,24658.0,4578.0,10076.0,5594.0,886.0
Brasil,RJ,Estado,2020-06-03,69251.0,24962.0,4651.0,10386.0,5786.0,896.0
Brasil,RJ,Estado,2020-06-04,71305.0,25235.0,4718.0,10694.0,5978.0,905.0
