Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,RO,Estado,2020-04-18,110.0,92.0,14.0,14.0,3.0,3.0
Brasil,RO,Estado,2020-04-19,113.0,88.0,14.0,14.0,4.0,3.0
Brasil,RO,Estado,2020-04-20,116.0,85.0,13.0,15.0,5.0,3.0
Brasil,RO,Estado,2020-04-21,120.0,83.0,13.0,15.0,5.0,3.0
Brasil,RO,Estado,2020-04-22,124.0,82.0,13.0,16.0,5.0,3.0
Brasil,RO,Estado,2020-04-23,129.0,81.0,13.0,17.0,5.0,3.0
Brasil,RO,Estado,2020-04-24,136.0,82.0,14.0,18.0,6.0,3.0
Brasil,RO,Estado,2020-04-25,143.0,84.0,14.0,19.0,6.0,3.0
Brasil,RO,Estado,2020-04-26,153.0,88.0,15.0,20.0,6.0,3.0
Brasil,RO,Estado,2020-04-27,164.0,93.0,16.0,22.0,6.0,3.0
Brasil,RO,Estado,2020-04-28,178.0,101.0,17.0,24.0,6.0,4.0
Brasil,RO,Estado,2020-04-29,195.0,110.0,19.0,27.0,7.0,4.0
Brasil,RO,Estado,2020-04-30,215.0,122.0,21.0,29.0,7.0,4.0
Brasil,RO,Estado,2020-05-01,238.0,136.0,23.0,33.0,8.0,5.0
Brasil,RO,Estado,2020-05-02,265.0,154.0,26.0,37.0,8.0,6.0
Brasil,RO,Estado,2020-05-03,297.0,174.0,29.0,42.0,9.0,6.0
Brasil,RO,Estado,2020-05-04,334.0,198.0,33.0,47.0,9.0,7.0
Brasil,RO,Estado,2020-05-05,376.0,226.0,38.0,54.0,10.0,8.0
Brasil,RO,Estado,2020-05-06,424.0,258.0,43.0,61.0,11.0,9.0
Brasil,RO,Estado,2020-05-07,480.0,294.0,49.0,69.0,12.0,11.0
Brasil,RO,Estado,2020-05-08,542.0,335.0,56.0,79.0,14.0,12.0
Brasil,RO,Estado,2020-05-09,613.0,381.0,64.0,89.0,15.0,14.0
Brasil,RO,Estado,2020-05-10,692.0,433.0,72.0,101.0,17.0,16.0
Brasil,RO,Estado,2020-05-11,781.0,490.0,82.0,114.0,18.0,18.0
Brasil,RO,Estado,2020-05-12,880.0,552.0,92.0,129.0,20.0,20.0
Brasil,RO,Estado,2020-05-13,989.0,621.0,104.0,146.0,23.0,23.0
Brasil,RO,Estado,2020-05-14,1110.0,697.0,117.0,164.0,25.0,26.0
Brasil,RO,Estado,2020-05-15,1243.0,779.0,130.0,184.0,28.0,29.0
Brasil,RO,Estado,2020-05-16,1388.0,868.0,145.0,205.0,31.0,32.0
Brasil,RO,Estado,2020-05-17,1546.0,963.0,162.0,229.0,34.0,35.0
Brasil,RO,Estado,2020-05-18,1718.0,1065.0,179.0,255.0,38.0,39.0
Brasil,RO,Estado,2020-05-19,1904.0,1175.0,198.0,283.0,42.0,43.0
Brasil,RO,Estado,2020-05-20,2105.0,1291.0,218.0,313.0,46.0,47.0
Brasil,RO,Estado,2020-05-21,2320.0,1414.0,239.0,345.0,51.0,52.0
Brasil,RO,Estado,2020-05-22,2552.0,1544.0,261.0,380.0,56.0,57.0
Brasil,RO,Estado,2020-05-23,2799.0,1681.0,285.0,417.0,62.0,62.0
Brasil,RO,Estado,2020-05-24,3062.0,1824.0,310.0,457.0,68.0,67.0
Brasil,RO,Estado,2020-05-25,3340.0,1974.0,336.0,498.0,74.0,72.0
Brasil,RO,Estado,2020-05-26,3636.0,2129.0,363.0,543.0,80.0,78.0
Brasil,RO,Estado,2020-05-27,3947.0,2290.0,391.0,589.0,87.0,84.0
Brasil,RO,Estado,2020-05-28,4276.0,2457.0,421.0,639.0,95.0,90.0
Brasil,RO,Estado,2020-05-29,4620.0,2628.0,451.0,690.0,103.0,96.0
Brasil,RO,Estado,2020-05-30,4980.0,2804.0,483.0,744.0,111.0,102.0
Brasil,RO,Estado,2020-05-31,5356.0,2984.0,515.0,801.0,120.0,109.0
Brasil,RO,Estado,2020-06-01,5748.0,3167.0,548.0,860.0,129.0,116.0
Brasil,RO,Estado,2020-06-02,6156.0,3353.0,582.0,921.0,138.0,122.0
Brasil,RO,Estado,2020-06-03,6578.0,3542.0,616.0,984.0,148.0,129.0
Brasil,RO,Estado,2020-06-04,7014.0,3732.0,651.0,1049.0,158.0,136.0
Brasil,RO,Estado,2020-06-05,7464.0,3923.0,686.0,1117.0,169.0,143.0
Brasil,RO,Estado,2020-06-06,7928.0,4114.0,721.0,1186.0,180.0,150.0
Brasil,RO,Estado,2020-06-07,8404.0,4306.0,757.0,1258.0,191.0,157.0
Brasil,RO,Estado,2020-06-08,8892.0,4497.0,793.0,1331.0,203.0,163.0
Brasil,RO,Estado,2020-06-09,9391.0,4686.0,829.0,1406.0,215.0,170.0
Brasil,RO,Estado,2020-06-10,9901.0,4873.0,864.0,1482.0,227.0,177.0
Brasil,RO,Estado,2020-06-11,10420.0,5058.0,900.0,1560.0,240.0,183.0
Brasil,RO,Estado,2020-06-12,10948.0,5239.0,935.0,1640.0,252.0,190.0
Brasil,RO,Estado,2020-06-13,11484.0,5416.0,969.0,1720.0,265.0,196.0
Brasil,RO,Estado,2020-06-14,12027.0,5589.0,1003.0,1801.0,279.0,202.0
Brasil,RO,Estado,2020-06-15,12575.0,5756.0,1037.0,1884.0,292.0,208.0
Brasil,RO,Estado,2020-06-16,13129.0,5918.0,1069.0,1967.0,306.0,214.0
Brasil,RO,Estado,2020-06-17,13688.0,6074.0,1101.0,2050.0,319.0,219.0
Brasil,RO,Estado,2020-06-18,14250.0,6223.0,1132.0,2135.0,333.0,225.0
Brasil,RO,Estado,2020-06-19,14814.0,6365.0,1162.0,2219.0,347.0,230.0
Brasil,RO,Estado,2020-06-20,15379.0,6500.0,1190.0,2304.0,361.0,234.0
Brasil,RO,Estado,2020-06-21,15946.0,6627.0,1218.0,2389.0,376.0,239.0
Brasil,RO,Estado,2020-06-22,16512.0,6746.0,1244.0,2474.0,390.0,243.0
Brasil,RO,Estado,2020-06-23,17077.0,6856.0,1268.0,2559.0,404.0,247.0
Brasil,RO,Estado,2020-06-24,17640.0,6957.0,1292.0,2643.0,418.0,250.0
Brasil,RO,Estado,2020-06-25,18200.0,7050.0,1314.0,2727.0,432.0,253.0
Brasil,RO,Estado,2020-06-26,18757.0,7134.0,1334.0,2811.0,446.0,256.0
Brasil,RO,Estado,2020-06-27,19310.0,7208.0,1353.0,2894.0,461.0,258.0
Brasil,RO,Estado,2020-06-28,19858.0,7274.0,1370.0,2976.0,475.0,260.0
Brasil,RO,Estado,2020-06-29,20400.0,7329.0,1386.0,3057.0,488.0,262.0
Brasil,RO,Estado,2020-06-30,20936.0,7376.0,1400.0,3138.0,502.0,264.0
Brasil,RO,Estado,2020-07-01,21465.0,7413.0,1413.0,3217.0,516.0,265.0
Brasil,RO,Estado,2020-07-02,21986.0,7440.0,1424.0,3295.0,529.0,265.0
Brasil,RO,Estado,2020-07-03,22500.0,7459.0,1433.0,3372.0,542.0,266.0
Brasil,RO,Estado,2020-07-04,23006.0,7469.0,1441.0,3448.0,556.0,266.0
Brasil,RO,Estado,2020-07-05,23502.0,7470.0,1447.0,3523.0,568.0,266.0
Brasil,RO,Estado,2020-07-06,23989.0,7462.0,1451.0,3596.0,581.0,265.0
Brasil,RO,Estado,2020-07-07,24466.0,7445.0,1454.0,3667.0,594.0,264.0
Brasil,RO,Estado,2020-07-08,24933.0,7420.0,1455.0,3737.0,606.0,263.0
Brasil,RO,Estado,2020-07-09,25391.0,7387.0,1455.0,3806.0,618.0,262.0
Brasil,RO,Estado,2020-07-10,25838.0,7347.0,1453.0,3873.0,630.0,260.0
Brasil,RO,Estado,2020-07-11,26274.0,7299.0,1450.0,3938.0,641.0,258.0
Brasil,RO,Estado,2020-07-12,26699.0,7244.0,1445.0,4002.0,652.0,256.0
Brasil,RO,Estado,2020-07-13,27113.0,7181.0,1439.0,4064.0,663.0,253.0
Brasil,RO,Estado,2020-07-14,27516.0,7113.0,1432.0,4125.0,674.0,251.0
Brasil,RO,Estado,2020-07-15,27908.0,7038.0,1423.0,4183.0,684.0,248.0
Brasil,RO,Estado,2020-07-16,28288.0,6958.0,1413.0,4241.0,695.0,245.0
Brasil,RO,Estado,2020-07-17,28658.0,6872.0,1402.0,4296.0,704.0,241.0
Brasil,RO,Estado,2020-07-18,29015.0,6780.0,1390.0,4350.0,714.0,238.0
Brasil,RO,Estado,2020-07-19,29362.0,6684.0,1377.0,4402.0,723.0,234.0
Brasil,RO,Estado,2020-07-20,29698.0,6584.0,1363.0,4452.0,732.0,230.0
Brasil,RO,Estado,2020-07-21,30023.0,6480.0,1348.0,4501.0,741.0,226.0
Brasil,RO,Estado,2020-07-22,30336.0,6371.0,1332.0,4548.0,749.0,222.0
Brasil,RO,Estado,2020-07-23,30639.0,6260.0,1315.0,4593.0,758.0,218.0
Brasil,RO,Estado,2020-07-24,30931.0,6145.0,1297.0,4637.0,766.0,214.0
Brasil,RO,Estado,2020-07-25,31212.0,6028.0,1279.0,4679.0,773.0,210.0
Brasil,RO,Estado,2020-07-26,31483.0,5908.0,1260.0,4720.0,781.0,205.0
Brasil,RO,Estado,2020-07-27,31744.0,5786.0,1240.0,4759.0,788.0,201.0
Brasil,RO,Estado,2020-07-28,31995.0,5663.0,1220.0,4797.0,794.0,196.0
Brasil,RO,Estado,2020-07-29,32236.0,5538.0,1199.0,4833.0,801.0,191.0
