Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,SE,Estado,2020-04-22,117.0,75.0,11.0,11.0,7.0,3.0
Brasil,SE,Estado,2020-04-23,119.0,72.0,11.0,12.0,7.0,3.0
Brasil,SE,Estado,2020-04-24,122.0,70.0,11.0,12.0,8.0,3.0
Brasil,SE,Estado,2020-04-25,125.0,68.0,11.0,12.0,8.0,3.0
Brasil,SE,Estado,2020-04-26,128.0,67.0,11.0,13.0,8.0,2.0
Brasil,SE,Estado,2020-04-27,133.0,67.0,11.0,14.0,9.0,2.0
Brasil,SE,Estado,2020-04-28,138.0,68.0,11.0,14.0,9.0,2.0
Brasil,SE,Estado,2020-04-29,145.0,70.0,12.0,16.0,9.0,3.0
Brasil,SE,Estado,2020-04-30,154.0,74.0,12.0,17.0,9.0,3.0
Brasil,SE,Estado,2020-05-01,165.0,80.0,13.0,18.0,10.0,3.0
Brasil,SE,Estado,2020-05-02,178.0,87.0,15.0,20.0,10.0,3.0
Brasil,SE,Estado,2020-05-03,195.0,97.0,16.0,23.0,10.0,4.0
Brasil,SE,Estado,2020-05-04,214.0,110.0,19.0,26.0,10.0,4.0
Brasil,SE,Estado,2020-05-05,238.0,126.0,21.0,29.0,11.0,5.0
Brasil,SE,Estado,2020-05-06,266.0,145.0,24.0,34.0,11.0,5.0
Brasil,SE,Estado,2020-05-07,300.0,168.0,28.0,39.0,12.0,6.0
Brasil,SE,Estado,2020-05-08,339.0,195.0,32.0,45.0,13.0,7.0
Brasil,SE,Estado,2020-05-09,385.0,227.0,38.0,51.0,13.0,8.0
Brasil,SE,Estado,2020-05-10,439.0,264.0,44.0,60.0,14.0,10.0
Brasil,SE,Estado,2020-05-11,501.0,306.0,51.0,69.0,15.0,11.0
Brasil,SE,Estado,2020-05-12,573.0,355.0,59.0,80.0,17.0,13.0
Brasil,SE,Estado,2020-05-13,655.0,411.0,68.0,92.0,18.0,15.0
Brasil,SE,Estado,2020-05-14,748.0,475.0,78.0,106.0,20.0,17.0
Brasil,SE,Estado,2020-05-15,854.0,545.0,90.0,122.0,22.0,20.0
Brasil,SE,Estado,2020-05-16,973.0,624.0,103.0,140.0,24.0,23.0
Brasil,SE,Estado,2020-05-17,1107.0,713.0,118.0,160.0,26.0,26.0
Brasil,SE,Estado,2020-05-18,1256.0,810.0,134.0,182.0,29.0,30.0
Brasil,SE,Estado,2020-05-19,1422.0,917.0,152.0,207.0,32.0,34.0
Brasil,SE,Estado,2020-05-20,1606.0,1034.0,172.0,235.0,36.0,38.0
Brasil,SE,Estado,2020-05-21,1808.0,1162.0,193.0,265.0,40.0,43.0
