Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,TO,Estado,2020-04-29,116.0,98.0,15.0,15.0,3.0,4.0
Brasil,TO,Estado,2020-04-30,129.0,104.0,16.0,17.0,4.0,4.0
Brasil,TO,Estado,2020-05-01,140.0,108.0,17.0,18.0,4.0,4.0
Brasil,TO,Estado,2020-05-02,152.0,111.0,18.0,20.0,5.0,4.0
Brasil,TO,Estado,2020-05-03,164.0,116.0,19.0,22.0,5.0,4.0
Brasil,TO,Estado,2020-05-04,178.0,122.0,20.0,24.0,5.0,5.0
Brasil,TO,Estado,2020-05-05,195.0,130.0,21.0,26.0,6.0,5.0
Brasil,TO,Estado,2020-05-06,214.0,140.0,23.0,29.0,6.0,5.0
Brasil,TO,Estado,2020-05-07,236.0,152.0,25.0,33.0,6.0,6.0
Brasil,TO,Estado,2020-05-08,261.0,167.0,28.0,37.0,7.0,6.0
Brasil,TO,Estado,2020-05-09,291.0,185.0,31.0,41.0,7.0,7.0
Brasil,TO,Estado,2020-05-10,325.0,205.0,34.0,46.0,7.0,8.0
Brasil,TO,Estado,2020-05-11,363.0,229.0,38.0,52.0,8.0,8.0
Brasil,TO,Estado,2020-05-12,407.0,256.0,43.0,58.0,9.0,9.0
Brasil,TO,Estado,2020-05-13,455.0,287.0,48.0,66.0,9.0,11.0
Brasil,TO,Estado,2020-05-14,510.0,321.0,54.0,74.0,10.0,12.0
Brasil,TO,Estado,2020-05-15,572.0,359.0,60.0,83.0,11.0,13.0
Brasil,TO,Estado,2020-05-16,640.0,402.0,67.0,93.0,12.0,15.0
Brasil,TO,Estado,2020-05-17,715.0,448.0,75.0,105.0,13.0,16.0
Brasil,TO,Estado,2020-05-18,797.0,499.0,84.0,117.0,14.0,18.0
Brasil,TO,Estado,2020-05-19,888.0,554.0,93.0,131.0,16.0,20.0
Brasil,TO,Estado,2020-05-20,987.0,613.0,103.0,145.0,17.0,23.0
Brasil,TO,Estado,2020-05-21,1095.0,677.0,114.0,162.0,19.0,25.0
Brasil,TO,Estado,2020-05-22,1211.0,746.0,126.0,179.0,21.0,27.0
Brasil,TO,Estado,2020-05-23,1337.0,819.0,138.0,198.0,23.0,30.0
Brasil,TO,Estado,2020-05-24,1472.0,896.0,152.0,218.0,25.0,33.0
Brasil,TO,Estado,2020-05-25,1617.0,978.0,166.0,240.0,27.0,36.0
Brasil,TO,Estado,2020-05-26,1772.0,1063.0,181.0,263.0,29.0,39.0
Brasil,TO,Estado,2020-05-27,1936.0,1153.0,196.0,288.0,32.0,42.0
Brasil,TO,Estado,2020-05-28,2111.0,1247.0,213.0,314.0,35.0,46.0
Brasil,TO,Estado,2020-05-29,2296.0,1345.0,230.0,342.0,38.0,49.0
Brasil,TO,Estado,2020-05-30,2490.0,1445.0,247.0,371.0,41.0,53.0
Brasil,TO,Estado,2020-05-31,2695.0,1549.0,266.0,402.0,44.0,57.0
Brasil,TO,Estado,2020-06-01,2910.0,1656.0,285.0,434.0,48.0,61.0
Brasil,TO,Estado,2020-06-02,3134.0,1766.0,304.0,467.0,51.0,64.0
Brasil,TO,Estado,2020-06-03,3369.0,1878.0,324.0,503.0,55.0,69.0
Brasil,TO,Estado,2020-06-04,3612.0,1992.0,345.0,539.0,59.0,73.0
Brasil,TO,Estado,2020-06-05,3865.0,2107.0,366.0,577.0,63.0,77.0
Brasil,TO,Estado,2020-06-06,4126.0,2223.0,387.0,616.0,68.0,81.0
Brasil,TO,Estado,2020-06-07,4396.0,2340.0,409.0,657.0,72.0,85.0
Brasil,TO,Estado,2020-06-08,4675.0,2458.0,430.0,698.0,77.0,89.0
Brasil,TO,Estado,2020-06-09,4960.0,2575.0,452.0,741.0,82.0,94.0
Brasil,TO,Estado,2020-06-10,5254.0,2692.0,474.0,785.0,87.0,98.0
Brasil,TO,Estado,2020-06-11,5553.0,2808.0,496.0,830.0,92.0,102.0
Brasil,TO,Estado,2020-06-12,5860.0,2923.0,518.0,876.0,97.0,106.0
Brasil,TO,Estado,2020-06-13,6172.0,3036.0,539.0,923.0,102.0,110.0
Brasil,TO,Estado,2020-06-14,6490.0,3148.0,561.0,971.0,108.0,114.0
Brasil,TO,Estado,2020-06-15,6812.0,3256.0,582.0,1019.0,113.0,118.0
Brasil,TO,Estado,2020-06-16,7138.0,3362.0,603.0,1068.0,119.0,122.0
Brasil,TO,Estado,2020-06-17,7468.0,3465.0,623.0,1118.0,125.0,125.0
Brasil,TO,Estado,2020-06-18,7801.0,3564.0,643.0,1168.0,131.0,129.0
Brasil,TO,Estado,2020-06-19,8137.0,3659.0,663.0,1218.0,136.0,132.0
Brasil,TO,Estado,2020-06-20,8475.0,3750.0,681.0,1269.0,142.0,135.0
Brasil,TO,Estado,2020-06-21,8814.0,3837.0,699.0,1319.0,148.0,138.0
Brasil,TO,Estado,2020-06-22,9154.0,3919.0,717.0,1370.0,154.0,141.0
Brasil,TO,Estado,2020-06-23,9494.0,3997.0,734.0,1421.0,161.0,144.0
Brasil,TO,Estado,2020-06-24,9834.0,4069.0,750.0,1472.0,167.0,146.0
Brasil,TO,Estado,2020-06-25,10173.0,4136.0,765.0,1523.0,173.0,149.0
Brasil,TO,Estado,2020-06-26,10511.0,4197.0,779.0,1574.0,179.0,151.0
Brasil,TO,Estado,2020-06-27,10847.0,4254.0,792.0,1624.0,185.0,153.0
Brasil,TO,Estado,2020-06-28,11181.0,4304.0,804.0,1674.0,191.0,154.0
Brasil,TO,Estado,2020-06-29,11512.0,4349.0,816.0,1724.0,197.0,156.0
Brasil,TO,Estado,2020-06-30,11840.0,4388.0,826.0,1773.0,203.0,157.0
Brasil,TO,Estado,2020-07-01,12165.0,4421.0,836.0,1822.0,209.0,158.0
Brasil,TO,Estado,2020-07-02,12485.0,4449.0,844.0,1870.0,215.0,159.0
Brasil,TO,Estado,2020-07-03,12802.0,4471.0,852.0,1918.0,220.0,160.0
Brasil,TO,Estado,2020-07-04,13114.0,4487.0,858.0,1964.0,226.0,160.0
Brasil,TO,Estado,2020-07-05,13421.0,4497.0,864.0,2010.0,232.0,160.0
Brasil,TO,Estado,2020-07-06,13722.0,4502.0,868.0,2056.0,237.0,160.0
Brasil,TO,Estado,2020-07-07,14018.0,4501.0,872.0,2100.0,243.0,160.0
Brasil,TO,Estado,2020-07-08,14309.0,4496.0,874.0,2144.0,248.0,160.0
Brasil,TO,Estado,2020-07-09,14593.0,4484.0,876.0,2186.0,253.0,159.0
Brasil,TO,Estado,2020-07-10,14872.0,4468.0,876.0,2228.0,259.0,158.0
Brasil,TO,Estado,2020-07-11,15144.0,4447.0,876.0,2269.0,264.0,158.0
Brasil,TO,Estado,2020-07-12,15410.0,4421.0,875.0,2309.0,269.0,156.0
Brasil,TO,Estado,2020-07-13,15669.0,4391.0,872.0,2348.0,274.0,155.0
Brasil,TO,Estado,2020-07-14,15921.0,4356.0,869.0,2385.0,278.0,154.0
Brasil,TO,Estado,2020-07-15,16167.0,4318.0,866.0,2422.0,283.0,152.0
Brasil,TO,Estado,2020-07-16,16406.0,4275.0,861.0,2458.0,287.0,151.0
Brasil,TO,Estado,2020-07-17,16638.0,4228.0,855.0,2493.0,292.0,149.0
Brasil,TO,Estado,2020-07-18,16864.0,4178.0,849.0,2527.0,296.0,147.0
Brasil,TO,Estado,2020-07-19,17082.0,4125.0,842.0,2560.0,300.0,145.0
Brasil,TO,Estado,2020-07-20,17294.0,4069.0,835.0,2591.0,304.0,143.0
Brasil,TO,Estado,2020-07-21,17499.0,4010.0,827.0,2622.0,308.0,140.0
Brasil,TO,Estado,2020-07-22,17697.0,3948.0,818.0,2652.0,312.0,138.0
Brasil,TO,Estado,2020-07-23,17888.0,3883.0,809.0,2681.0,316.0,136.0
Brasil,TO,Estado,2020-07-24,18073.0,3817.0,799.0,2708.0,319.0,133.0
Brasil,TO,Estado,2020-07-25,18252.0,3748.0,788.0,2735.0,323.0,131.0
Brasil,TO,Estado,2020-07-26,18424.0,3678.0,777.0,2761.0,326.0,128.0
Brasil,TO,Estado,2020-07-27,18589.0,3606.0,766.0,2786.0,329.0,125.0
Brasil,TO,Estado,2020-07-28,18748.0,3533.0,755.0,2810.0,332.0,123.0
Brasil,TO,Estado,2020-07-29,18901.0,3458.0,742.0,2833.0,335.0,120.0
Brasil,TO,Estado,2020-07-30,19048.0,3383.0,730.0,2855.0,338.0,117.0
Brasil,TO,Estado,2020-07-31,19190.0,3307.0,717.0,2876.0,341.0,114.0
Brasil,TO,Estado,2020-08-01,19325.0,3230.0,705.0,2896.0,343.0,111.0
Brasil,TO,Estado,2020-08-02,19455.0,3152.0,691.0,2916.0,346.0,109.0
Brasil,TO,Estado,2020-08-03,19580.0,3075.0,678.0,2934.0,348.0,106.0
Brasil,TO,Estado,2020-08-04,19699.0,2997.0,665.0,2952.0,351.0,103.0
Brasil,TO,Estado,2020-08-05,19813.0,2919.0,651.0,2969.0,353.0,100.0
Brasil,TO,Estado,2020-08-06,19922.0,2841.0,637.0,2986.0,355.0,97.0
Brasil,TO,Estado,2020-08-07,20026.0,2764.0,624.0,3001.0,357.0,94.0
Brasil,TO,Estado,2020-08-08,20125.0,2687.0,610.0,3016.0,359.0,92.0
Brasil,TO,Estado,2020-08-09,20220.0,2611.0,596.0,3030.0,361.0,89.0
