Country,Province,City,Data Start Date,Mape,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Brasil,RO,Estado,2020-04-18,20.635155776487238,1.999999997824271,-5.686047662762595,1.0000000031892338,0.4999999999341394,0.025169740966752646,0.10000000330495529,0.1066548156401377
Brasil,AC,Estado,2020-04-15,8.281870596901996,1.858772524351497,-9.99999999512782,1.000000000238175,0.4999999958569562,0.027300366608565472,0.823679258168777,0.10000002362593507
Brasil,AM,Estado,2020-03-28,23.543551182534305,1.9999999997521787,-6.199710687316483,1.0000000000219875,0.49999999999387584,0.04032887354362798,0.6924252413187065,0.10000000178364575
Brasil,RR,Estado,2020-04-14,25.306846936463515,1.999999999915791,-6.478116101360181,1.000000000008625,0.27268465612424986,0.02072398112399628,0.10000000001375704,0.10000000004818754
Brasil,PA,Estado,2020-04-06,19.6559352862079,1.9999999996913327,-4.442490361734818,1.0000000000028968,0.49999999988826893,0.04793563938497322,0.9723875600547905,0.10000001321232728
Brasil,AP,Estado,2020-04-08,23.240162139563207,1.9999999999894211,-4.6941640756439655,1.000000000001259,0.49999999998449257,0.016037266090720693,0.10000000000356013,0.10000000000031381
Brasil,TO,Estado,2020-04-29,20.817063270862672,1.7652551150045521,-9.999999999369354,1.0000000000104217,0.49999999917460036,0.018058183261937345,1.1071594813960102,0.10000000598864045
Brasil,MA,Estado,2020-04-06,29.354793097505226,1.9999999999965756,0.40033202415846175,1.0000000000000526,0.1385942741914996,0.028122458330455,0.10000000000080041,0.1000000000021961
Brasil,PI,Estado,2020-04-17,23.892635638783787,1.9999999999938267,-2.9384481024428535,1.000000000000153,0.17795475922530474,0.03366721012083233,0.10000000001122465,0.10000000000072343
Brasil,CE,Estado,2020-03-22,23.04147468024026,1.9999999999825468,-0.576842717907459,1.0000000000011402,0.14026959486047996,0.06002724894625346,0.10000000000619037,0.10000000000026991
Brasil,RN,Estado,2020-04-02,41.40486951355051,1.999999999996136,-4.661886577493895,1.0000000000001725,0.050000000008524545,0.05204193786258978,0.10000000000010835,0.10000000000090754
Brasil,PB,Estado,2020-04-12,22.595921542612782,1.999999999995708,-0.9920172329590081,1.0000000000038634,0.4999999990637151,0.022136028377185774,0.7328195061892094,0.10000000422438393
Brasil,PE,Estado,2020-04-02,21.198379063560402,1.981341776354436,-9.999999999958765,1.0000000000225922,0.4999999995665075,0.08153629610086807,3.4657788830774514,0.10000000463442199
